id,job_title,department,p_start,start_month,p_end,end_month
1,Backend Engineer II,IT Department,2010.0,3,2016.0,10
1,Team Lead,IT Department,2016.0,10,-99.0,5
2,Frontend Engineer II,IT Department,2011.0,12,2017.0,2
2,Sr Frontend Engineer,IT Department,2017.0,2,-99.0,9
3,Data Analyst II,Analytics Department,2011.0,10,2017.0,3
3,Data Scientist,Analytics Department,2017.0,3,-99.0,12
4,Frontend Engineer II,IT Department,2016.0,9,-99.0,11
5,Backend Engineer II,IT Department,2012.0,2,2018.0,7
5,Team Lead,IT Department,2018.0,7,-99.0,8
6,Backend Engineer II,Analytics Department,2017.0,11,-99.0,11
7,Data Analyst II,Analytics Department,2011.0,11,2017.0,9
7,Data Scientist,Analytics Department,2017.0,9,-99.0,9
8,Backend Engineer II,IT Department,2012.0,8,2018.0,3
8,Team Lead,IT Department,2018.0,3,-99.0,1
9,Sr Manager,Administration Department,2015.0,9,-99.0,5
10,Associate Frontend Engineer,IT Department,2012.0,2,2018.0,1
10,Frontend Engineer,IT Department,2018.0,1,-99.0,11
11,Backend Engineer II,IT Department,2013.0,8,2019.0,8
11,Team Lead,IT Department,2019.0,8,-99.0,5
12,Sr Manager,Administration Department,2014.0,11,-99.0,1
13,Associate Data Analyst,Analytics Department,2008.0,2,2014.0,7
13,Data Analyst,Analytics Department,2014.0,7,2019.0,12
13,Data Analyst II,Analytics Department,2019.0,12,-99.0,1
14,Associate Data Analyst,Analytics Department,2014.0,11,-99.0,2
15,Jr Data Analyst,Analytics Department,2016.0,5,-99.0,6
16,Backend Engineer II,Analytics Department,2015.0,4,-99.0,6
17,Associate Data Analyst,Analytics Department,2011.0,7,2017.0,10
17,Data Analyst,Analytics Department,2017.0,10,-99.0,8
18,Associate Frontend Engineer,IT Department,2009.0,1,2015.0,9
18,Frontend Engineer,IT Department,2015.0,9,-99.0,5
19,Associate Backend Engineer,IT Department,2015.0,12,-99.0,11
20,Backend Engineer II,Analytics Department,2011.0,12,2017.0,8
20,Team Lead,Analytics Department,2017.0,8,-99.0,2
21,Frontend Engineer II,IT Department,2010.0,10,2016.0,10
21,Sr Frontend Engineer,IT Department,2016.0,10,-99.0,5
22,Data Analyst II,Analytics Department,2015.0,8,-99.0,3
23,Backend Engineer II,IT Department,2016.0,9,-99.0,6
24,Data Analyst II,Analytics Department,2011.0,12,2017.0,1
24,Data Scientist,Analytics Department,2017.0,1,-99.0,3
25,Associate Frontend Engineer,IT Department,2013.0,5,2019.0,10
25,Frontend Engineer,IT Department,2019.0,10,-99.0,9
26,Associate Data Analyst,Analytics Department,2010.0,5,2016.0,9
26,Data Analyst,Analytics Department,2016.0,9,-99.0,10
27,Associate Backend Engineer,Analytics Department,2011.0,9,2017.0,2
27,Backend Engineer,Analytics Department,2017.0,2,-99.0,4
28,Frontend Engineer II,IT Department,2015.0,11,-99.0,10
29,Associate Data Analyst,Analytics Department,2012.0,3,2018.0,4
29,Data Analyst,Analytics Department,2018.0,4,-99.0,1
30,Associate Backend Engineer,Analytics Department,2010.0,8,2016.0,2
30,Backend Engineer,Analytics Department,2016.0,2,-99.0,3
31,Associate Backend Engineer,Analytics Department,2015.0,11,-99.0,10
32,Backend Engineer,Analytics Department,2009.0,9,2015.0,7
32,Backend Engineer II,Analytics Department,2015.0,7,-99.0,1
33,Associate Frontend Engineer,IT Department,2008.0,9,2014.0,2
33,Frontend Engineer,IT Department,2014.0,2,2019.0,1
33,Frontend Engineer II,IT Department,2019.0,1,-99.0,1
34,Associate Backend Engineer,Analytics Department,2011.0,6,2017.0,4
34,Backend Engineer,Analytics Department,2017.0,4,-99.0,10
35,Associate Backend Engineer,Analytics Department,2010.0,5,2016.0,12
35,Backend Engineer,Analytics Department,2016.0,12,-99.0,12
36,Associate Data Analyst,Analytics Department,2013.0,10,2019.0,12
36,Data Analyst,Analytics Department,2019.0,12,-99.0,8
37,Data Analyst II,Analytics Department,2011.0,2,2017.0,4
37,Data Scientist,Analytics Department,2017.0,4,-99.0,9
38,Backend Engineer II,Analytics Department,2011.0,9,2017.0,8
38,Team Lead,Analytics Department,2017.0,8,-99.0,6
39,Frontend Engineer II,IT Department,2013.0,8,2019.0,1
39,Sr Frontend Engineer,IT Department,2019.0,1,-99.0,12
40,Backend Engineer II,IT Department,2014.0,5,-99.0,8
41,Associate Frontend Engineer,IT Department,2012.0,7,2018.0,8
41,Frontend Engineer,IT Department,2018.0,8,-99.0,3
42,Associate Data Analyst,Analytics Department,2016.0,3,-99.0,5
43,Associate Data Analyst,Analytics Department,2006.0,3,2012.0,7
43,Data Analyst,Analytics Department,2012.0,7,2017.0,12
43,Data Analyst II,Analytics Department,2017.0,12,-99.0,12
44,Associate Backend Engineer,Analytics Department,2005.0,9,2011.0,10
44,Backend Engineer,Analytics Department,2011.0,10,2016.0,9
44,Backend Engineer II,Analytics Department,2016.0,9,-99.0,12
45,Associate Backend Engineer,IT Department,2013.0,12,2019.0,12
45,Backend Engineer,IT Department,2019.0,12,-99.0,8
46,Frontend Engineer II,IT Department,2011.0,10,2017.0,10
46,Sr Frontend Engineer,IT Department,2017.0,10,-99.0,1
47,Associate Data Analyst,Analytics Department,2014.0,10,-99.0,2
48,Associate Backend Engineer,IT Department,2006.0,4,2012.0,2
48,Backend Engineer,IT Department,2012.0,2,2017.0,6
48,Backend Engineer II,IT Department,2017.0,6,-99.0,12
49,Associate Backend Engineer,IT Department,2012.0,4,2018.0,9
49,Backend Engineer,IT Department,2018.0,9,-99.0,5
50,Associate Data Analyst,Analytics Department,2013.0,10,2019.0,10
50,Data Analyst,Analytics Department,2019.0,10,-99.0,7
51,Backend Engineer II,Analytics Department,2011.0,11,2017.0,3
51,Team Lead,Analytics Department,2017.0,3,-99.0,11
52,Backend Engineer,Analytics Department,2008.0,2,2014.0,2
52,Backend Engineer II,Analytics Department,2014.0,2,2019.0,3
52,Sr Backend Engineer,Analytics Department,2019.0,3,-99.0,4
53,Sr Manager,Administration Department,2015.0,5,-99.0,5
54,Backend Engineer II,IT Department,2016.0,9,-99.0,3
55,Associate Data Analyst,Analytics Department,2011.0,4,2017.0,7
55,Data Analyst,Analytics Department,2017.0,7,-99.0,4
56,Jr Backend Engineer,IT Department,2014.0,4,-99.0,5
57,Data Analyst II,Analytics Department,2011.0,7,2017.0,3
57,Data Scientist,Analytics Department,2017.0,3,-99.0,5
58,Associate Manager,Administration Department,2008.0,3,2014.0,10
58,Assistant Manager,Administration Department,2014.0,10,2019.0,3
58,Manager,Administration Department,2019.0,3,-99.0,2
59,Associate Backend Engineer,IT Department,2009.0,4,2015.0,6
59,Backend Engineer,IT Department,2015.0,6,-99.0,6
60,Sr Manager,Administration Department,2013.0,5,2019.0,11
60,,Administration Department,2019.0,11,-99.0,1
61,Backend Engineer II,Analytics Department,2013.0,1,2019.0,9
61,Team Lead,Analytics Department,2019.0,9,-99.0,7
62,Associate Manager,Administration Department,2013.0,12,2019.0,2
62,Assistant Manager,Administration Department,2019.0,2,-99.0,11
63,Data Analyst II,Analytics Department,2010.0,4,2016.0,4
63,Data Scientist,Analytics Department,2016.0,4,-99.0,6
64,Associate Backend Engineer,Analytics Department,2012.0,1,2018.0,11
64,Backend Engineer,Analytics Department,2018.0,11,-99.0,12
65,Associate Data Analyst,Analytics Department,2015.0,3,-99.0,11
66,Data Analyst II,Analytics Department,2012.0,12,2018.0,1
66,Data Scientist,Analytics Department,2018.0,1,-99.0,10
67,Associate Frontend Engineer,IT Department,2016.0,6,-99.0,8
68,Backend Engineer II,IT Department,2011.0,4,2017.0,9
68,Team Lead,IT Department,2017.0,9,-99.0,1
69,Associate Backend Engineer,Analytics Department,2014.0,3,-99.0,11
70,Data Analyst II,Analytics Department,2010.0,11,2016.0,6
70,Data Scientist,Analytics Department,2016.0,6,-99.0,6
71,Associate Backend Engineer,Analytics Department,2013.0,3,2019.0,6
71,Backend Engineer,Analytics Department,2019.0,6,-99.0,7
72,Data Analyst II,Analytics Department,2016.0,2,-99.0,5
73,Backend Engineer,IT Department,2008.0,11,2014.0,4
73,Backend Engineer II,IT Department,2014.0,4,2019.0,12
73,Sr Backend Engineer,IT Department,2019.0,12,-99.0,8
74,Associate Data Analyst,Analytics Department,2010.0,4,2016.0,9
74,Data Analyst,Analytics Department,2016.0,9,-99.0,6
75,Associate Frontend Engineer,IT Department,2006.0,12,2012.0,9
75,Frontend Engineer,IT Department,2012.0,9,2017.0,12
75,Frontend Engineer II,IT Department,2017.0,12,-99.0,7
76,Data Analyst II,Analytics Department,2010.0,4,2016.0,9
76,Data Scientist,Analytics Department,2016.0,9,-99.0,10
77,Associate Data Analyst,Analytics Department,2006.0,10,2012.0,12
77,Data Analyst,Analytics Department,2012.0,12,2017.0,3
77,Data Analyst II,Analytics Department,2017.0,3,-99.0,9
78,Associate Backend Engineer,IT Department,2008.0,3,2014.0,1
78,Backend Engineer,IT Department,2014.0,1,2019.0,9
78,Backend Engineer II,IT Department,2019.0,9,-99.0,2
79,Data Analyst II,Analytics Department,2011.0,2,2017.0,9
79,Data Scientist,Analytics Department,2017.0,9,-99.0,8
80,Associate Frontend Engineer,IT Department,2007.0,5,2013.0,3
80,Frontend Engineer,IT Department,2013.0,3,2018.0,5
80,Frontend Engineer II,IT Department,2018.0,5,-99.0,3
81,Associate Backend Engineer,IT Department,2016.0,9,-99.0,9
82,Associate Backend Engineer,IT Department,2009.0,5,2015.0,10
82,Backend Engineer,IT Department,2015.0,10,-99.0,12
83,Jr Data Analyst,Analytics Department,2013.0,12,2019.0,3
83,Associate Data Analyst,Analytics Department,2019.0,3,-99.0,7
84,Backend Engineer II,Analytics Department,2010.0,8,2016.0,11
84,Team Lead,Analytics Department,2016.0,11,-99.0,2
85,Associate Data Analyst,Analytics Department,2005.0,8,2011.0,1
