id,degree_type,degree,major,edu_start,start_month,start_day,edu_end,end_month,end_day
1,Bachelor's Degree,Bachelor of Science,Biology,2000,1,24,2004,4,14
2,Bachelor's Degree,Bachelor of Business Administration,Operations,2004,2,13,2009,7,11
3,Bachelor's Degree,Bachelor of Arts,Mathematics,2008,5,2,2013,4,16
3,Masters's Degree,Master of Science,Managament,2013,8,28,2017,7,2
4,Bachelor's Degree,Bachelor of Technology,Engineering,1985,8,14,1989,12,8
5,Bachelor's Degree,Bachelor of Science,Biology,1985,5,19,1989,12,8
5,Masters's Degree,Master of Science,Data Science,1990,8,2,1992,7,19
6,Bachelor's Degree,Bachelor of Engineering,Engineering,1987,8,20,1991,12,13
6,PhD Degree,PhD,Sociology,1992,2,18,1996,12,9
7,Bachelor's Degree,Bachelor of Business Administration,Finance,1986,1,12,1990,12,11
7,Masters's Degree,Master of Science,Computer Science,1991,8,12,1993,5,12
8,Bachelor's Degree,Bachelor of Engineering,Engineering,1993,8,16,1997,5,15
9,Bachelor's Degree,Bachelor of Arts,Mathematics,2007,8,1,2011,5,18
10,Bachelor's Degree,Bachelor of Arts,Commerce,2003,1,10,2007,12,17
11,Bachelor's Degree,Bachelor of Arts,History,1982,8,6,1986,5,11
11,Masters's Degree,Master of Science,Managament,1986,8,8,1988,12,6
12,Bachelor's Degree,Bachelor of Science,Biology,1986,1,20,1991,7,10
13,Bachelor's Degree,Bachelor of Business Administration,HR,2002,9,4,2007,7,12
13,Masters's Degree,Master of Science,Data Science,2007,8,20,2011,12,4
14,Bachelor's Degree,Bachelor of Business Administration,HR,1994,2,22,1999,7,20
15,Bachelor's Degree,Bachelor of Business Administration,Engineering,2002,2,25,2005,12,18
15,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2006,1,24,2010,5,11
16,Bachelor's Degree,Bachelor of Business Administration,Operations,1987,1,24,1990,12,8
17,Bachelor's Degree,Bachelor of Arts,Commerce,2000,1,26,2003,12,7
18,Bachelor's Degree,Bachelor of Business Administration,HR,1987,9,20,1992,7,19
19,Bachelor's Degree,Bachelor of Arts,Mathematics,2008,1,20,2011,12,8
19,Masters's Degree,Master of Science,Computer Science,2012,8,21,2014,5,20
20,Bachelor's Degree,Bachelor of Technology,Engineering,1993,9,27,1998,7,8
20,Masters's Degree,Master of Philosphy,History,1998,8,11,2002,12,27
21,Bachelor's Degree,Bachelor of Arts,Economics,2001,2,23,2005,5,11
22,Bachelor's Degree,Bachelor of Business Administration,Finance,1997,2,9,2002,7,9
22,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2002,8,25,2007,4,13
23,Bachelor's Degree,Bachelor of Science,Biology,1998,8,27,2002,12,13
24,Bachelor's Degree,Bachelor of Science,Physics,1994,8,3,1997,12,15
24,Masters's Degree,Master of Business Administration,Finance,1998,8,9,2000,12,3
25,Bachelor's Degree,Bachelor of Technology,Engineering,2003,8,20,2006,12,11
25,Masters's Degree,Master of Science,Computer Science,2007,8,2,2009,12,20
26,Bachelor's Degree,Bachelor of Business Administration,Operations,2003,9,5,2007,4,15
26,Masters's Degree,Master of Business Administration,Operations,2007,8,11,2008,12,5
26,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2009,1,11,2011,7,7
27,Bachelor's Degree,Bachelor of Arts,History,1984,9,7,1988,5,7
28,Bachelor's Degree,Bachelor of Science,Chemistry,1988,1,12,1991,12,16
28,Masters's Degree,Master of Science,Computer Science,1992,9,9,1994,12,12
28,PhD Degree,PhD,Management Studies,1995,1,26,1999,12,16
29,Bachelor's Degree,Bachelor of Business Administration,HR,2005,9,22,2008,12,12
29,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2009,8,7,2013,5,13
30,Bachelor's Degree,Bachelor of Business Administration,Operations,2004,2,6,2007,12,20
31,Bachelor's Degree,Bachelor of Science,Biology,1996,2,26,2001,7,20
31,PhD Degree,Doctor of Business Administration,HR,2001,8,6,2005,12,19
32,Bachelor's Degree,Bachelor of Arts,Mathematics,1993,9,23,1997,4,15
33,Bachelor's Degree,Bachelor of Business Administration,Engineering,1990,8,26,1994,5,12
33,PhD Degree,Doctor of Business Administration,Business management,1996,2,2,2000,12,19
34,Bachelor's Degree,Bachelor of Arts,Commerce,1983,8,11,1987,12,17
