id,year_joined,start_month,recruitment_channel,awards,fte
1,2010.0,3,Career Site,5,0.25
2,2011.0,12,Referred by employees,0,1
3,2011.0,10,Job Boards,5,1
4,2016.0,9,Referred by employees,4,1
5,2012.0,2,Job Boards,1,1
6,2017.0,11,Referred by employees,2,0.5
7,2011.0,11,Career Site,4,1
8,2012.0,8,Career Site,4,1
9,2015.0,9,Career Site,4,1
10,2012.0,2,Job Boards,5,1
11,2013.0,8,Career Site,4,1
12,2014.0,11,Career Site,0,1
13,2008.0,2,Job Boards,2,1
14,2014.0,11,Referred by employees,0,1
15,2016.0,5,Career Site,1,1
16,2015.0,4,Job Boards,2,1
17,2011.0,7,Referred by employees,0,1
18,2009.0,1,Job Boards,3,1
19,2015.0,12,Career Site,0,0.25
20,2011.0,12,Career Site,2,1
21,2010.0,10,Career Site,5,0.5
22,2015.0,8,Job Boards,1,1
23,2016.0,9,Career Site,3,1
24,2011.0,12,Job Boards,4,1
25,2013.0,5,Career Site,0,1
26,2010.0,5,Referred by employees,3,0.5
27,2011.0,9,Job Boards,1,0.5
28,2015.0,11,Career Site,4,0.5
29,2012.0,3,Career Site,1,1
30,2010.0,8,Job Boards,2,1
31,2015.0,11,Job Boards,0,1
32,2009.0,9,Career Site,2,1
33,2008.0,9,Referred by employees,0,1
34,2011.0,6,Referred by employees,3,1
35,2010.0,5,Referred by employees,2,1
36,2013.0,10,Career Site,4,1
37,2011.0,2,Referred by employees,5,1
38,2011.0,9,Job Boards,2,1
39,2013.0,8,Referred by employees,3,1
40,2014.0,5,Referred by employees,1,1
41,2012.0,7,Referred by employees,5,1
42,2016.0,3,Career Site,0,1
43,2006.0,3,Referred by employees,1,0.5
44,2005.0,9,Referred by employees,1,0.5
45,2013.0,12,Career Site,1,1
46,2011.0,10,Referred by employees,4,0.5
47,2014.0,10,Referred by employees,3,1
48,2006.0,4,Career Site,3,1
49,2012.0,4,Job Boards,1,1
50,2013.0,10,Job Boards,4,0.5
51,2011.0,11,Career Site,4,1
52,2008.0,2,Referred by employees,3,0.25
53,2015.0,5,Career Site,5,0.5
54,2016.0,9,Career Site,0,1
55,2011.0,4,Job Boards,2,1
56,2014.0,4,Referred by employees,4,1
57,2011.0,7,Job Boards,1,1
58,2008.0,3,Career Site,1,0.25
59,2009.0,4,Career Site,0,1
60,2013.0,5,Career Site,3,1
61,2013.0,1,Job Boards,1,1
62,2013.0,12,Career Site,3,0.5
63,2010.0,4,Referred by employees,1,1
64,2012.0,1,Job Boards,5,0.5
65,2015.0,3,Career Site,1,1
66,2012.0,12,Job Boards,4,1
67,2016.0,6,Career Site,2,1
68,2011.0,4,Job Boards,5,1
69,2014.0,3,Job Boards,1,1
70,2010.0,11,Career Site,0,0.5
71,2013.0,3,Career Site,3,1
72,2016.0,2,Career Site,1,0.25
73,2008.0,11,Career Site,4,1
