id,job_title,department,p_start,start_month,p_end,end_month,grade,salary
1,Sr Backend Engineer,IT Department,2010.0,3,2016.0,10,7.0,120925.0
1,Team Lead,IT Department,2016.0,10,-99.0,-99,8.0,169699.0
2,Frontend Engineer II,IT Department,2011.0,12,2017.0,2,6.0,96256.0
2,Sr Frontend Engineer,IT Department,2017.0,2,-99.0,-99,7.0,120132.0
3,Data Analyst II,Analytics Department,2016.0,10,-99.0,-99,6.0,115457.0
4,Frontend Engineer II,IT Department,2016.0,9,-99.0,-99,6.0,96206.0
5,Sr Backend Engineer,IT Department,2012.0,2,2018.0,7,7.0,121025.0
5,Team Lead,IT Department,2018.0,7,-99.0,-99,8.0,169779.0
6,Sr Backend Engineer,IT Department,2017.0,11,-99.0,-99,7.0,121050.0
7,Data Analyst II,Analytics Department,2011.0,11,2017.0,9,6.0,115537.0
7,Data Scientist,Analytics Department,2017.0,9,-99.0,-99,7.0,149304.0
8,Sr Backend Engineer,IT Department,2012.0,8,2018.0,3,7.0,121100.0
8,Team Lead,IT Department,2018.0,3,-99.0,-99,8.0,169839.0
9,Sr Manager,Administration Department,2015.0,9,-99.0,-99,10.0,205684.0
10,Associate Frontend Engineer,IT Department,2011.0,2,2017.0,1,4.0,61642.0
10,Frontend Engineer,IT Department,2017.0,1,-99.0,-99,5.0,71262.0
11,Sr Backend Engineer,IT Department,2010.0,8,2016.0,8,7.0,121175.0
11,Team Lead,IT Department,2016.0,8,-99.0,-99,8.0,169899.0
12,Sr Manager,Administration Department,2011.0,11,2017.0,1,10.0,205744.0
12,Director,Administration Department,2017.0,1,-99.0,-99,12.0,422838.0
13,Associate Data Analyst,Analytics Department,2008.0,2,2014.0,7,4.0,65772.0
13,Data Analyst,Analytics Department,2014.0,7,2019.0,12,5.0,88404.0
13,Data Analyst II,Analytics Department,2019.0,12,-99.0,-99,6.0,115657.0
14,Associate Data Analyst,Analytics Department,2013.0,11,2019.0,2,4.0,65817.0
