id,end_year,end_month,job_title,department
1,2010,3,Backend Engineer II,IT Department
2,2011,12,Frontend Engineer II,IT Department
3,2016,10,Data Analyst II,Analytics Department
4,2016,9,Frontend Engineer II,IT Department
5,2012,2,Backend Engineer II,IT Department
6,2017,11,Backend Engineer II,IT Department
7,2011,11,Data Analyst II,Analytics Department
8,2012,8,Backend Engineer II,IT Department
9,2015,9,Manager,Administration Department
10,2011,2,Associate Frontend Engineer,IT Department
11,2010,8,Backend Engineer II,IT Department
12,2011,11,Manager,Administration Department
13,2008,2,Associate Data Analyst,Analytics Department
14,2013,11,Associate Data Analyst,Analytics Department
16,2016,4,Backend Engineer II,IT Department
17,2011,7,Associate Data Analyst,Analytics Department
18,2009,1,Associate Frontend Engineer,IT Department
19,2014,12,Associate Backend Engineer,IT Department
20,2011,12,Backend Engineer II,IT Department
21,2010,10,Frontend Engineer II,IT Department
22,2015,8,Data Analyst II,Analytics Department
23,2016,9,Backend Engineer II,IT Department
24,2016,12,Data Analyst II,Analytics Department
25,2012,5,Associate Frontend Engineer,IT Department
26,2012,5,Associate Data Analyst,Analytics Department
27,2011,9,Associate Backend Engineer,IT Department
28,2015,11,Frontend Engineer II,IT Department
29,2011,3,Associate Data Analyst,Analytics Department
30,2009,8,Associate Backend Engineer,IT Department
31,2014,11,Associate Backend Engineer,IT Department
32,2009,9,Backend Engineer,IT Department
33,2008,9,Associate Frontend Engineer,IT Department
34,2011,6,Associate Backend Engineer,IT Department
35,2009,5,Associate Backend Engineer,IT Department
36,2012,10,Associate Data Analyst,Analytics Department
37,2011,2,Data Analyst II,Analytics Department
38,2011,9,Backend Engineer II,IT Department
39,2010,8,Frontend Engineer II,IT Department
40,2011,5,Backend Engineer II,IT Department
41,2011,7,Associate Frontend Engineer,IT Department
42,2015,3,Associate Data Analyst,Analytics Department
43,2006,3,Associate Data Analyst,Analytics Department
44,2005,9,Associate Backend Engineer,IT Department
45,2012,12,Associate Backend Engineer,IT Department
46,2016,10,Frontend Engineer II,IT Department
47,2013,10,Associate Data Analyst,Analytics Department
48,2006,4,Associate Backend Engineer,IT Department
49,2011,4,Associate Backend Engineer,IT Department
50,2012,10,Associate Data Analyst,Analytics Department
51,2011,11,Backend Engineer II,IT Department
52,2008,2,Backend Engineer,IT Department
53,2012,5,Manager,Administration Department
54,2016,9,Backend Engineer II,IT Department
55,2011,4,Associate Data Analyst,Analytics Department
57,2011,7,Data Analyst II,Analytics Department
58,2008,3,Associate Manager,Administration Department
59,2009,4,Associate Backend Engineer,IT Department
60,2010,5,Manager,Administration Department
61,2010,1,Backend Engineer II,IT Department
63,2010,4,Data Analyst II,Analytics Department
64,2011,1,Associate Backend Engineer,IT Department
65,2014,3,Associate Data Analyst,Analytics Department
66,2012,12,Data Analyst II,Analytics Department
67,2015,6,Associate Frontend Engineer,IT Department
68,2011,4,Backend Engineer II,IT Department
69,2013,3,Associate Backend Engineer,IT Department
70,2010,11,Data Analyst II,Analytics Department
71,2012,3,Associate Backend Engineer,IT Department
72,2016,2,Data Analyst II,Analytics Department
73,2008,11,Backend Engineer,IT Department
74,2010,4,Associate Data Analyst,Analytics Department
75,2006,12,Associate Frontend Engineer,IT Department
76,2010,4,Data Analyst II,Analytics Department
77,2006,10,Associate Data Analyst,Analytics Department
78,2008,3,Associate Backend Engineer,IT Department
79,2016,2,Data Analyst II,Analytics Department
80,2007,5,Associate Frontend Engineer,IT Department
81,2015,9,Associate Backend Engineer,IT Department
82,2009,5,Associate Backend Engineer,IT Department
84,2010,8,Backend Engineer II,IT Department
85,2005,8,Associate Data Analyst,Analytics Department
86,2012,6,Data Analyst II,Analytics Department
87,2006,5,Associate Backend Engineer,IT Department
88,2010,1,Associate Data Analyst,Analytics Department
89,2009,3,Associate Backend Engineer,IT Department
90,2008,12,Backend Engineer,IT Department
91,2006,4,Associate Manager,Administration Department
93,2012,5,Backend Engineer II,IT Department
95,2011,6,Frontend Engineer II,IT Department
96,2011,7,Backend Engineer II,IT Department
97,2010,8,Backend Engineer II,IT Department
98,2015,12,Data Analyst II,Analytics Department
99,2011,3,Data Analyst II,Analytics Department
100,2014,7,Associate Backend Engineer,IT Department
101,2011,12,Associate Backend Engineer,IT Department
102,2013,12,Associate Data Analyst,Analytics Department
103,2008,3,Associate Backend Engineer,IT Department
105,2010,8,Backend Engineer II,IT Department
106,2015,1,Associate Backend Engineer,IT Department
107,2012,9,Frontend Engineer II,IT Department
108,2011,10,Data Analyst II,Analytics Department
109,2015,7,Associate Frontend Engineer,IT Department
110,2005,2,Associate Backend Engineer,IT Department
111,2015,8,Backend Engineer II,IT Department
112,2009,12,Associate Backend Engineer,IT Department
113,2011,10,Data Analyst II,Analytics Department
114,2009,1,Associate Backend Engineer,IT Department
115,2011,9,Associate Backend Engineer,IT Department
117,2017,10,Backend Engineer II,IT Department
118,2011,5,Associate Backend Engineer,IT Department
119,2015,11,Associate Frontend Engineer,IT Department
120,2016,9,Data Analyst II,Analytics Department
121,2014,10,Associate Backend Engineer,IT Department
