id,degree_type,degree,major,edu_start,start_month,start_day,edu_end,end_month,end_day
1,Bachelor's Degree,Bachelor of Business Administration,Engineering,1991,9,20,1994,12,8
2,Bachelor's Degree,Bachelor of Business Administration,Engineering,1991,1,19,1995,12,20
3,Bachelor's Degree,Bachelor of Arts,History,1982,8,6,1986,5,11
3,Masters's Degree,Master of Science,Managament,1986,8,8,1988,12,6
4,Bachelor's Degree,Bachelor of Technology,Engineering,1987,8,7,1991,5,13
4,Masters's Degree,Master of Science,Computer Science,1991,8,6,1993,12,7
5,Bachelor's Degree,Bachelor of Engineering,Engineering,1991,2,24,1995,5,8
5,Masters's Degree,Master of Philosphy,Economics,1995,8,6,1997,7,24
6,Bachelor's Degree,Bachelor of Arts,History,1981,9,1,1985,12,18
6,Masters's Degree,Master of Science,Business Analytics,1986,8,18,1988,12,1
6,PhD Degree,PhD,Sociology,1989,2,18,1993,12,9
7,Bachelor's Degree,Bachelor of Science,Physics,1991,8,24,1994,12,10
7,Masters's Degree,Master of Science,Computer Science,1995,9,20,1997,12,24
8,Bachelor's Degree,Bachelor of Science,Biology,1991,2,2,1995,5,8
9,Bachelor's Degree,Bachelor of Arts,Economics,1986,1,20,1989,12,20
9,Masters's Degree,Master of Science,Data Science,1990,8,15,1992,5,20
10,Bachelor's Degree,Bachelor of Engineering,Engineering,2004,8,23,2007,12,10
11,Bachelor's Degree,Bachelor of Arts,Economics,1982,1,12,1986,12,10
11,Masters's Degree,Master of Business Administration,HR,1987,1,12,1989,12,12
12,Bachelor's Degree,Bachelor of Arts,History,1983,1,9,1986,12,16
12,Masters's Degree,Master of Science,Data Science,1987,9,27,1989,5,9
13,Bachelor's Degree,Bachelor of Science,Chemistry,1995,1,7,1998,12,11
13,Masters's Degree,Master of Philosphy,Regional Studies,1999,8,15,2001,5,7
14,Bachelor's Degree,Bachelor of Technology,Engineering,2004,8,13,2008,5,19
14,Masters's Degree,Master of Business Administration,Finance,2008,8,17,2009,12,13
15,Bachelor's Degree,Bachelor of Engineering,Engineering,2006,2,13,2010,5,13
15,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2011,1,24,2015,5,11
16,Bachelor's Degree,Bachelor of Arts,History,1983,1,3,1986,12,15
16,Masters's Degree,Master of Philosphy,Economics,1987,8,18,1989,5,3
17,Bachelor's Degree,Bachelor of Technology,Engineering,2001,2,23,2005,4,7
18,Bachelor's Degree,Bachelor of Business Administration,Finance,1996,2,6,2000,5,17
18,Masters's Degree,Master of Science,Computer Science,2000,8,5,2002,7,6
19,Bachelor's Degree,Bachelor of Technology,Engineering,2005,9,15,2009,5,13
19,Masters's Degree,Master of Business Administration,Operations,2009,8,3,2011,12,15
20,Bachelor's Degree,Bachelor of Business Administration,HR,1996,5,26,1999,12,20
21,Bachelor's Degree,Bachelor of Engineering,Engineering,1990,9,21,1994,4,10
22,Bachelor's Degree,Bachelor of Business Administration,HR,1983,1,5,1987,4,10
22,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1987,8,25,1992,4,13
23,Bachelor's Degree,Bachelor of Arts,Mathematics,1989,2,21,1992,12,11
24,Bachelor's Degree,Bachelor of Arts,Geography,1983,1,23,1987,5,8
24,Masters's Degree,Master of Science,Managament,1987,8,7,1988,5,23
25,Bachelor's Degree,Bachelor of Science,Biology,2005,1,11,2009,12,18
26,Bachelor's Degree,Bachelor of Arts,Mathematics,1996,8,6,2002,7,14
26,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2002,8,11,2008,7,7
27,Bachelor's Degree,Bachelor of Business Administration,Engineering,1999,9,19,2002,12,8
27,Masters's Degree,Master of Science,Managament,2003,8,7,2005,12,19
28,Bachelor's Degree,Bachelor of Arts,Commerce,1982,8,9,1986,12,10
28,PhD Degree,PhD,Management Studies,1987,1,26,1991,12,16
29,Bachelor's Degree,Bachelor of Technology,Engineering,1997,1,17,2001,5,13
29,Masters's Degree,Master of Science,Managament,2001,8,7,2003,5,17
29,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,2004,8,7,2008,5,13
30,Bachelor's Degree,Bachelor of Engineering,Engineering,2002,1,19,2006,12,10
31,Bachelor's Degree,Bachelor of Business Administration,Finance,2003,1,21,2006,12,15
31,PhD Degree,Doctor of Business Administration,HR,2007,2,6,2010,12,19
32,Bachelor's Degree,Bachelor of Business Administration,Finance,1995,1,1,1998,12,15
33,Bachelor's Degree,Bachelor of Business Administration,Finance,1993,1,24,1996,12,16
33,PhD Degree,Doctor of Business Administration,Business management,1998,2,2,2002,12,19
34,Bachelor's Degree,Bachelor of Engineering,Engineering,2001,2,22,2005,5,12
35,Bachelor's Degree,Bachelor of Technology,Engineering,2001,1,27,2006,7,11
36,Bachelor's Degree,Bachelor of Technology,Engineering,1999,1,15,2003,5,9
36,PhD Degree,PhD,Communication,2003,8,12,2008,5,12
37,Bachelor's Degree,Bachelor of Arts,Economics,1991,8,13,1995,5,16
37,Masters's Degree,Master of Science,Managament,1995,8,7,1996,12,13
38,Bachelor's Degree,Bachelor of Arts,Geography,1995,8,16,1999,5,16
39,Bachelor's Degree,Bachelor of Arts,Commerce,1983,8,14,1988,7,8
40,Bachelor's Degree,Bachelor of Arts,History,1987,2,4,1990,12,9
41,Bachelor's Degree,Bachelor of Business Administration,Marketing,2001,1,6,2004,12,8
41,Masters's Degree,Master of Philosphy,History,2005,8,12,2007,12,6
42,Bachelor's Degree,Bachelor of Engineering,Engineering,2003,8,23,2008,7,9
42,Masters's Degree,Master of Science,Computer Science,2008,8,12,2012,12,23
43,Bachelor's Degree,Bachelor of Engineering,Engineering,1993,9,8,1999,7,17
44,Bachelor's Degree,Bachelor of Science,Biology,1994,9,15,1998,5,13
45,Bachelor's Degree,Bachelor of Technology,Engineering,2003,8,20,2006,12,11
45,Masters's Degree,Master of Science,Computer Science,2007,8,2,2009,12,20
46,Bachelor's Degree,Bachelor of Technology,Engineering,1983,8,17,1987,5,8
47,Bachelor's Degree,Bachelor of Business Administration,Engineering,2004,1,25,2007,12,10
47,Masters's Degree,Master of Science,Computer Science,2008,8,24,2010,5,25
48,Bachelor's Degree,Bachelor of Science,Chemistry,1988,1,12,1991,12,16
48,Masters's Degree,Master of Science,Computer Science,1992,9,9,1994,12,12
48,PhD Degree,PhD,Sociology,1995,1,9,1999,12,16
49,Bachelor's Degree,Bachelor of Engineering,Engineering,2004,8,9,2008,12,8
50,Bachelor's Degree,Bachelor of Business Administration,Finance,2005,8,2,2009,12,18
51,Bachelor's Degree,Bachelor of Arts,Geography,1993,8,9,1996,12,12
51,Masters's Degree,Master of Business Administration,HR,1997,9,15,1999,12,9
52,Bachelor's Degree,Bachelor of Business Administration,HR,1992,9,5,1996,12,19
53,Bachelor's Degree,Bachelor of Technology,Engineering,1985,8,14,1989,12,8
54,Bachelor's Degree,Bachelor of Business Administration,Finance,1986,1,12,1990,12,11
54,Masters's Degree,Master of Science,Computer Science,1991,8,12,1993,5,12
55,Bachelor's Degree,Bachelor of Science,Chemistry,1994,8,1,1998,4,9
55,PhD Degree,PhD,Sociology,1999,5,17,2004,4,15
56,Bachelor's Degree,Bachelor of Business Administration,Finance,2007,2,2,2011,12,9
56,Masters's Degree,Master of Business Administration,HR,2012,1,11,2014,4,2
57,Bachelor's Degree,Bachelor of Business Administration,Engineering,1987,2,10,1990,12,9
57,PhD Degree,PhD,Communication,1991,1,16,1995,12,17
58,Bachelor's Degree,Bachelor of Arts,Economics,1993,9,16,1997,5,20
58,PhD Degree,Doctor of Philosophy PhD,Comparative Literature,1997,8,23,2001,5,16
59,Bachelor's Degree,Bachelor of Arts,Economics,1995,1,3,1999,5,18
