id,p_start,exp_yr_count,job_title,department,grade,salary
1,2010,1,Sr Backend Engineer,IT Department,7,120925
1,2011,2,Sr Backend Engineer,IT Department,7,124947
1,2012,3,Sr Backend Engineer,IT Department,7,126961
1,2013,4,Sr Backend Engineer,IT Department,7,128977
1,2014,5,Sr Backend Engineer,IT Department,7,130995
1,2015,6,Sr Backend Engineer,IT Department,7,133015
1,2016,7,Team Lead,IT Department,8,169699
1,2017,8,Team Lead,IT Department,8,185835
1,2018,9,Team Lead,IT Department,8,187861
1,2019,10,Team Lead,IT Department,8,189889
2,2011,1,Frontend Engineer II,IT Department,6,96256
2,2012,2,Frontend Engineer II,IT Department,6,100280
2,2013,3,Frontend Engineer II,IT Department,6,102295
2,2014,4,Frontend Engineer II,IT Department,6,104312
2,2015,5,Frontend Engineer II,IT Department,6,106331
2,2016,6,Frontend Engineer II,IT Department,6,108352
2,2017,7,Sr Frontend Engineer,IT Department,7,120132
2,2018,8,Sr Frontend Engineer,IT Department,7,136276
2,2019,9,Sr Frontend Engineer,IT Department,7,138303
3,2016,1,Data Analyst II,Analytics Department,6,115457
3,2017,2,Data Analyst II,Analytics Department,6,119491
3,2018,3,Data Analyst II,Analytics Department,6,121511
3,2019,4,Data Analyst II,Analytics Department,6,123533
4,2016,1,Frontend Engineer II,IT Department,6,96206
4,2017,2,Frontend Engineer II,IT Department,6,100240
4,2018,3,Frontend Engineer II,IT Department,6,102260
4,2019,4,Frontend Engineer II,IT Department,6,104282
5,2012,1,Sr Backend Engineer,IT Department,7,121025
5,2013,2,Sr Backend Engineer,IT Department,7,125051
5,2014,3,Sr Backend Engineer,IT Department,7,127067
5,2015,4,Sr Backend Engineer,IT Department,7,129085
5,2016,5,Sr Backend Engineer,IT Department,7,131105
5,2017,6,Sr Backend Engineer,IT Department,7,133127
5,2018,7,Team Lead,IT Department,8,169779
5,2019,8,Team Lead,IT Department,8,185931
6,2017,1,Sr Backend Engineer,IT Department,7,121050
6,2018,2,Sr Backend Engineer,IT Department,7,125086
6,2019,3,Sr Backend Engineer,IT Department,7,127107
7,2011,1,Data Analyst II,Analytics Department,6,115537
7,2012,2,Data Analyst II,Analytics Department,6,119561
7,2013,3,Data Analyst II,Analytics Department,6,121576
7,2014,4,Data Analyst II,Analytics Department,6,123593
7,2015,5,Data Analyst II,Analytics Department,6,125612
7,2016,6,Data Analyst II,Analytics Department,6,127633
7,2017,7,Data Scientist,Analytics Department,7,149304
7,2018,8,Data Scientist,Analytics Department,7,165448
7,2019,9,Data Scientist,Analytics Department,7,167475
8,2012,1,Sr Backend Engineer,IT Department,7,121100
8,2013,2,Sr Backend Engineer,IT Department,7,125126
8,2014,3,Sr Backend Engineer,IT Department,7,127142
8,2015,4,Sr Backend Engineer,IT Department,7,129160
8,2016,5,Sr Backend Engineer,IT Department,7,131180
8,2017,6,Sr Backend Engineer,IT Department,7,133202
8,2018,7,Team Lead,IT Department,8,169839
8,2019,8,Team Lead,IT Department,8,185991
9,2015,1,Sr Manager,Administration Department,10,205684
9,2016,2,Sr Manager,Administration Department,10,209716
9,2017,3,Sr Manager,Administration Department,10,211735
9,2018,4,Sr Manager,Administration Department,10,213756
9,2019,5,Sr Manager,Administration Department,10,215779
10,2011,1,Associate Frontend Engineer,IT Department,4,55609
10,2012,2,Associate Frontend Engineer,IT Department,4,59633
10,2013,3,Associate Frontend Engineer,IT Department,4,61648
10,2014,4,Associate Frontend Engineer,IT Department,4,63665
10,2015,5,Associate Frontend Engineer,IT Department,4,65684
10,2016,6,Associate Frontend Engineer,IT Department,4,67705
10,2017,7,Frontend Engineer,IT Department,5,71262
10,2018,8,Frontend Engineer,IT Department,5,87406
10,2019,9,Frontend Engineer,IT Department,5,89433
11,2010,1,Sr Backend Engineer,IT Department,7,121175
11,2011,2,Sr Backend Engineer,IT Department,7,125197
11,2012,3,Sr Backend Engineer,IT Department,7,127211
11,2013,4,Sr Backend Engineer,IT Department,7,129227
11,2014,5,Sr Backend Engineer,IT Department,7,131245
11,2015,6,Sr Backend Engineer,IT Department,7,133265
11,2016,7,Team Lead,IT Department,8,169899
11,2017,8,Team Lead,IT Department,8,186035
11,2018,9,Team Lead,IT Department,8,188061
11,2019,10,Team Lead,IT Department,8,190089
12,2011,1,Sr Manager,Administration Department,10,205744
12,2012,2,Sr Manager,Administration Department,10,209768
12,2013,3,Sr Manager,Administration Department,10,211783
12,2014,4,Sr Manager,Administration Department,10,213800
12,2015,5,Sr Manager,Administration Department,10,215819
12,2016,6,Sr Manager,Administration Department,10,217840
12,2017,7,Director,Administration Department,12,422838
12,2018,8,Director,Administration Department,12,438982
12,2019,9,Director,Administration Department,12,441009
13,2008,1,Associate Data Analyst,Analytics Department,4,65772
13,2009,2,Associate Data Analyst,Analytics Department,4,69790
13,2010,3,Associate Data Analyst,Analytics Department,4,71802
13,2011,4,Associate Data Analyst,Analytics Department,4,73816
13,2012,5,Associate Data Analyst,Analytics Department,4,75832
13,2013,6,Associate Data Analyst,Analytics Department,4,77850
13,2014,7,Data Analyst,Analytics Department,5,88404
13,2015,8,Data Analyst,Analytics Department,5,104524
13,2016,9,Data Analyst,Analytics Department,5,106548
13,2017,10,Data Analyst,Analytics Department,5,108574
13,2018,11,Data Analyst,Analytics Department,5,110602
13,2019,12,Data Analyst II,Analytics Department,6,115657
14,2013,1,Associate Data Analyst,Analytics Department,4,65817
14,2014,2,Associate Data Analyst,Analytics Department,4,69845
14,2015,3,Associate Data Analyst,Analytics Department,4,71862
14,2016,4,Associate Data Analyst,Analytics Department,4,73881
14,2017,5,Associate Data Analyst,Analytics Department,4,75902
14,2018,6,Associate Data Analyst,Analytics Department,4,77925
14,2019,7,Data Analyst,Analytics Department,5,88424
15,2016,1,Associate Data Analyst,Analytics Department,4,65852
15,2017,2,Associate Data Analyst,Analytics Department,4,69886
15,2018,3,Associate Data Analyst,Analytics Department,4,71906
15,2019,4,Associate Data Analyst,Analytics Department,4,73928
