id,year,exp_yr_count,medical_leaves,casual_leaves
1,2010,1,1,6
1,2011,2,10,5
1,2012,3,9,0
1,2013,4,3,11
1,2014,5,4,4
1,2015,6,9,11
1,2016,7,8,8
1,2017,8,9,1
1,2018,9,8,13
1,2019,10,1,14
2,2011,1,5,7
2,2012,2,1,8
2,2013,3,2,4
2,2014,4,5,3
2,2015,5,0,10
2,2016,6,7,5
2,2017,7,0,2
2,2018,8,5,11
2,2019,9,3,13
3,2016,1,7,0
3,2017,2,8,12
3,2018,3,0,12
3,2019,4,7,9
4,2016,1,3,1
4,2017,2,8,5
4,2018,3,2,15
4,2019,4,4,12
5,2012,1,1,4
5,2013,2,5,12
5,2014,3,0,12
5,2015,4,6,14
5,2016,5,4,4
5,2017,6,8,11
5,2018,7,10,3
5,2019,8,4,5
6,2017,1,6,5
6,2018,2,2,5
6,2019,3,0,3
7,2011,1,2,11
7,2012,2,3,12
7,2013,3,3,0
7,2014,4,8,2
7,2015,5,6,8
7,2016,6,7,13
7,2017,7,2,2
7,2018,8,8,0
7,2019,9,9,0
8,2012,1,7,10
8,2013,2,0,7
8,2014,3,5,6
8,2015,4,9,1
8,2016,5,3,15
8,2017,6,2,2
8,2018,7,1,2
8,2019,8,7,15
9,2015,1,2,12
9,2016,2,6,0
9,2017,3,3,7
9,2018,4,3,15
9,2019,5,8,0
10,2011,1,4,5
10,2012,2,10,12
10,2013,3,3,14
10,2014,4,1,3
10,2015,5,6,8
10,2016,6,3,14
10,2017,7,9,11
10,2018,8,7,12
10,2019,9,0,10
11,2010,1,10,6
11,2011,2,5,15
11,2012,3,10,0
11,2013,4,6,3
11,2014,5,6,13
11,2015,6,4,5
11,2016,7,5,3
11,2017,8,9,3
11,2018,9,4,9
11,2019,10,4,3
12,2011,1,3,13
12,2012,2,5,6
12,2013,3,6,10
12,2014,4,1,5
12,2015,5,8,0
12,2016,6,5,6
12,2017,7,1,12
12,2018,8,10,1
12,2019,9,3,6
13,2008,1,10,11
13,2009,2,7,6
13,2010,3,1,3
13,2011,4,5,1
13,2012,5,3,2
13,2013,6,4,9
13,2014,7,8,6
13,2015,8,9,7
13,2016,9,6,10
13,2017,10,0,14
13,2018,11,3,0
13,2019,12,4,13
14,2013,1,3,3
14,2014,2,10,2
14,2015,3,0,2
14,2016,4,9,14
14,2017,5,7,1
14,2018,6,5,14
14,2019,7,6,3
15,2016,1,5,12
15,2017,2,2,4
15,2018,3,7,8
15,2019,4,1,6
16,2016,1,7,10
16,2017,2,3,1
16,2018,3,2,4
16,2019,4,3,0
17,2011,1,2,15
17,2012,2,1,5
17,2013,3,2,14
17,2014,4,2,5
17,2015,5,7,9
17,2016,6,4,6
17,2017,7,10,4
17,2018,8,2,14
17,2019,9,10,10
18,2009,1,3,3
18,2010,2,2,9
18,2011,3,6,12
18,2012,4,7,9
18,2013,5,6,6
18,2014,6,3,7
18,2015,7,7,6
18,2016,8,7,9
18,2017,9,7,9
18,2018,10,6,4
18,2019,11,4,1
19,2014,1,7,5
19,2015,2,10,3
19,2016,3,4,3
19,2017,4,10,10
19,2018,5,3,5
19,2019,6,9,0
20,2011,1,6,0
20,2012,2,3,2
20,2013,3,3,9
20,2014,4,9,14
20,2015,5,4,9
20,2016,6,9,9
20,2017,7,8,10
20,2018,8,7,1
20,2019,9,0,9
21,2010,1,9,6
21,2011,2,4,11
21,2012,3,7,13
21,2013,4,4,10
21,2014,5,3,8
21,2015,6,2,2
21,2016,7,5,1
21,2017,8,4,5
21,2018,9,10,13
21,2019,10,10,2
22,2015,1,10,1
22,2016,2,3,9
22,2017,3,2,7
22,2018,4,10,14
22,2019,5,6,10
23,2016,1,1,14
23,2017,2,3,10
