id,Race,Homecity,Nationality,Gender,dob_year,dob_month,dob_day
1,White Americans,Chicago,American,Female,1975,9,3
2,Latino Americans,Houston,American,Female,1973,6,18
3,Punjabis,Delhi,Indian,Male,1965,6,28
4,Indo Aryan,Delhi,Indian,Male,1970,9,14
5,Native Hawaiian Americans,San Jose,American,Female,1972,5,2
6,African Americans,San Jose,American,Female,1965,5,27
7,Native Hawaiian Americans,San Jose,American,Male,1974,11,5
8,Latino Americans,Houston,American,Male,1972,3,13
9,Telugu People,Hyderabad,Indian,Female,1968,6,5
10,Telugu People,Mumbai,Indian,Male,1987,7,16
11,Latino Americans,Houston,American,Female,1965,9,7
12,Indo Aryan,Mumbai,Indian,Male,1965,9,19
13,White Americans,Chicago,American,Male,1977,7,12
14,White Americans,San Jose,American,Male,1987,3,24
15,Latino Americans,Houston,American,Male,1987,11,15
16,Latino Americans,Dallas,American,Female,1965,6,13
17,White Americans,Chicago,American,Male,1983,3,10
18,African Americans,San Jose,American,Male,1977,5,14
19,Native Hawaiian Americans,San Jose,American,Female,1989,12,6
20,Latino Americans,Houston,American,Female,1977,9,18
21,Indo Aryan,Mumbai,Indian,Male,1974,12,17
22,White Americans,Chicago,American,Male,1965,6,11
23,Dravidians,Delhi,Indian,Male,1970,11,26
24,Latino Americans,New York,American,Male,1965,10,15
25,African Americans,San Jose,American,Male,1988,10,9
26,Mongols,Beijing,Chinese,Male,1979,4,5
27,Native Hawaiian Americans,San Jose,American,Male,1983,3,19
28,Latino Americans,New York,American,Male,1965,4,22
29,Native Hawaiian Americans,San Jose,American,Female,1979,9,25
30,African Americans,San Jose,American,Male,1985,6,10
31,Latino Americans,Houston,American,Male,1986,3,12
32,African Americans,San Jose,American,Male,1977,9,26
33,Latino Americans,Dallas,American,Female,1975,12,14
34,Uyghus,Beijing,Chinese,Male,1982,5,17
35,Bengalis,Delhi,Indian,Male,1983,12,28
36,Native Hawaiian Americans,San Jose,American,Male,1982,6,10
37,African Americans,Victoria,Canada,Male,1974,2,18
38,White Americans,Ottawa,Canada,Male,1978,4,12
39,Indo Aryan,Mumbai,Indian,Male,1966,2,4
40,White Americans,Ottawa,Canada,Male,1969,6,21
41,Native Hawaiian Americans,San Jose,American,Male,1984,7,26
42,Dravidians,Delhi,Indian,Female,1986,9,15
43,Latino Americans,New York,American,Female,1977,6,14
44,White Americans,Chicago,American,Male,1978,4,22
45,Indo Aryan,Delhi,Indian,Male,1986,12,8
46,Dravidians,Delhi,Indian,Male,1967,1,23
47,Telugu People,Hyderabad,Indian,Male,1986,1,5
48,Dravidians,Delhi,Indian,Female,1971,12,23
49,Latino Americans,Houston,American,Female,1987,8,19
50,Han Chinese,Hangzhou,Chinese,Male,1988,4,14
51,Native Hawaiian Americans,San Jose,American,Female,1976,9,25
52,Dravidians,Delhi,Indian,Male,1976,2,10
53,Latino Americans,Houston,American,Male,1968,7,10
54,Latino Americans,Houston,American,Female,1968,12,24
55,White Americans,Chicago,American,Male,1977,3,16
56,Indo Aryan,Mumbai,Indian,Male,1988,7,20
57,White Americans,Chicago,American,Female,1968,4,3
58,Indo Aryan,Delhi,Indian,Male,1977,9,20
59,Latino Americans,New York,American,Male,1977,12,1
60,White Americans,Chicago,American,Female,1968,10,16
61,Telugu People,Hyderabad,Indian,Male,1968,9,14
62,White Americans,Chicago,American,Male,1989,12,26
63,Indo Aryan,Mumbai,Indian,Female,1971,6,27
64,White Americans,San Jose,American,Female,1986,9,11
65,African Americans,San Jose,American,Male,1986,7,20
66,Latino Americans,New York,American,Male,1976,6,14
67,Han Chinese,Hangzhou,Chinese,Male,1988,6,26
68,African Americans,Victoria,Canada,Male,1977,7,12
69,Punjabis,Delhi,Indian,Male,1987,3,20
70,Latino Americans,Dallas,American,Female,1972,3,2
71,Native Hawaiian Americans,San Jose,American,Female,1985,8,4
72,White Americans,San Jose,American,Male,1971,8,22
73,Latino Americans,New York,American,Female,1972,9,24
74,Latino Americans,New York,American,Female,1983,3,12
75,Uyghus,Beijing,Chinese,Male,1970,2,28
76,Latino Americans,Houston,American,Male,1974,2,24
77,Punjabis,Delhi,Indian,Female,1978,4,12
78,Han Chinese,Hangzhou,Chinese,Male,1976,3,26
79,African Americans,San Jose,American,Male,1965,6,2
80,Latino Americans,New York,American,Male,1979,4,23
81,Latino Americans,New York,American,Female,1989,11,2
82,Latino Americans,Dallas,American,Male,1981,5,5
83,Han Chinese,Hangzhou,Chinese,Female,1990,2,23
84,Uyghus,Beijing,Chinese,Female,1974,2,24
85,Indo Aryan,Mumbai,Indian,Female,1972,1,4
86,Latino Americans,New York,American,Female,1971,4,17
87,Indo Aryan,Mumbai,Indian,Female,1975,3,6
88,Latino Americans,New York,American,Female,1980,12,16
89,White Americans,Chicago,American,Female,1969,4,27
90,African Americans,Victoria,Canada,Male,1969,8,23
91,White Americans,Chicago,American,Male,1976,8,5
92,Latino Americans,New York,American,Female,1990,2,27
93,Dravidians,Delhi,Indian,Male,1973,6,28
94,Latino Americans,Houston,American,Female,1981,9,23
95,Indo Aryan,Mumbai,Indian,Male,1972,6,15
96,Mongols,Shanghai,Chinese,Female,1972,9,20
97,Native Hawaiian Americans,San Jose,American,Male,1968,5,27
98,White Americans,Chicago,American,Male,1965,8,22
99,Native Hawaiian Americans,San Jose,American,Male,1970,10,8
100,Native Hawaiian Americans,San Jose,American,Male,1985,1,16
101,Latino Americans,Dallas,American,Male,1985,2,3
102,White Americans,Ottawa,Canada,Female,1988,4,24
103,Latino Americans,Dallas,American,Female,1980,8,15
104,Latino Americans,New York,American,Male,1987,1,1
105,White Americans,Ottawa,Canada,Male,1972,11,18
106,White Americans,Chicago,American,Male,1990,7,22
107,Latino Americans,New York,American,Female,1973,3,16
108,Han Chinese,Hangzhou,Chinese,Female,1971,2,14
109,White Americans,Chicago,American,Male,1981,1,17
110,African Americans,Victoria,Canada,Female,1975,9,3
111,African Americans,San Jose,American,Male,1966,3,19
112,White Americans,Chicago,American,Male,1982,9,20
113,Latino Americans,Houston,American,Female,1974,2,3
114,White Americans,Chicago,American,Female,1980,12,16
115,White Americans,San Jose,American,Male,1981,2,8
116,White Americans,Ottawa,Canada,Male,1986,7,3
117,Indo Aryan,Mumbai,Indian,Male,1966,5,5
118,Uyghus,Beijing,Chinese,Female,1987,7,28
119,White Americans,Chicago,American,Male,1988,1,13
120,African Americans,San Jose,American,Male,1968,1,5
121,White Americans,Chicago,American,Male,1990,6,22
122,Telugu People,Hyderabad,Indian,Male,1977,12,3
123,Uyghus,Beijing,Chinese,Female,1973,6,19
124,Latino Americans,Dallas,American,Male,1981,7,15
125,Latino Americans,Dallas,American,Male,1971,1,27
126,White Americans,San Jose,American,Female,1983,5,10
127,White Americans,Chicago,American,Female,1977,4,5
128,White Americans,Chicago,American,Male,1985,12,16
129,Latino Americans,Dallas,American,Male,1976,8,25
130,Latino Americans,New York,American,Female,1981,11,16
131,Native Hawaiian Americans,San Jose,American,Male,1982,10,28
132,Uyghus,Beijing,Chinese,Male,1984,4,6
133,Native Hawaiian Americans,San Jose,American,Female,1970,10,12
134,Latino Americans,New York,American,Male,1975,7,1
135,African Americans,San Jose,American,Male,1976,9,4
136,White Americans,Chicago,American,Male,1978,10,9
137,Bengalis,Delhi,Indian,Male,1970,2,9
138,Native Hawaiian Americans,San Jose,American,Male,1984,4,21
139,Indo Aryan,Mumbai,Indian,Male,1990,8,26
140,White Americans,Chicago,American,Female,1967,3,11
141,Indo Aryan,Mumbai,Indian,Male,1990,8,15
142,White Americans,Chicago,American,Male,1984,6,28
143,Punjabis,Delhi,Indian,Male,1969,1,3
144,Latino Americans,Dallas,American,Male,1972,10,23
145,Uyghus,Beijing,Chinese,Female,1967,5,12
146,Uyghus,Beijing,Chinese,Male,1985,7,16
147,Latino Americans,Dallas,American,Male,1972,1,7
148,Latino Americans,Houston,American,Male,1981,2,25
149,Latino Americans,Dallas,American,Female,1987,5,21
150,African Americans,San Jose,American,Male,1975,6,26
151,Native Hawaiian Americans,San Jose,American,Male,1967,6,16
152,White Americans,Ottawa,Canada,Female,1975,8,19
153,Latino Americans,Houston,American,Male,1983,12,23
154,Latino Americans,Dallas,American,Male,1979,2,4
155,Dravidians,Delhi,Indian,Male,1968,6,10
156,Latino Americans,Houston,American,Male,1981,2,11
157,Native Hawaiian Americans,San Jose,American,Male,1970,12,21
158,Native Hawaiian Americans,San Jose,American,Female,1989,1,19
