id,start_year,start_month,end_year,end_month,job_title,department,last_salary
1,1994,12,2000,3,Associate Backend Engineer,IT Department,41042
1,2001,3,2006,10,Backend Engineer,IT Department,62625
1,2006,10,2010,3,Backend Engineer II,IT Department,84291
2,1995,12,2001,11,Associate Frontend Engineer,IT Department,44741
2,2002,11,2007,1,Frontend Engineer,IT Department,64526
2,2007,1,2011,12,Frontend Engineer II,IT Department,85794
3,1988,12,1999,10,Associate Data Analyst,Analytics Department,44243
3,1999,10,2004,5,Data Analyst,Analytics Department,73825
3,2004,5,2016,10,Data Analyst II,Analytics Department,100045
4,1993,12,1999,9,Associate Frontend Engineer,IT Department,44701
4,1999,9,2004,3,Frontend Engineer,IT Department,64486
4,2004,3,2016,9,Frontend Engineer II,IT Department,85754
5,1997,7,2003,3,Associate Frontend Engineer,IT Department,44681
5,2003,3,2008,6,Frontend Engineer,IT Department,64466
5,2008,6,2012,2,Backend Engineer II,IT Department,84391
6,1993,12,1999,12,Associate Backend Engineer,IT Department,41167
6,2000,12,2005,10,Backend Engineer,IT Department,62750
6,2005,10,2017,11,Backend Engineer II,IT Department,84416
7,1998,12,2004,10,Associate Data Analyst,Analytics Department,44323
7,2004,10,2009,9,Data Analyst,Analytics Department,73905
7,2010,9,2011,11,Data Analyst II,Analytics Department,100125
8,1996,5,2002,12,Associate Backend Engineer,IT Department,41217
8,2002,12,2007,12,Backend Engineer,IT Department,62800
8,2008,12,2012,8,Backend Engineer II,IT Department,84466
9,1992,5,1998,10,Associate Manager,Administration Department,81975
9,1998,10,2003,9,Assistant Manager,Administration Department,117516
9,2003,9,2015,9,Manager,Administration Department,140952
10,2008,12,2011,2,Associate Frontend Engineer,IT Department,44581
11,1990,12,2001,2,Associate Backend Engineer,IT Department,41292
11,2001,2,2006,3,Backend Engineer,IT Department,62875
11,2006,3,2010,8,Backend Engineer II,IT Department,84541
12,1990,5,2001,5,Associate Manager,Administration Department,82035
12,2002,5,2007,1,Assistant Manager,Administration Department,117576
12,2007,1,2011,11,Manager,Administration Department,141012
13,2002,5,2008,2,Associate Data Analyst,Analytics Department,44443
14,2010,12,2013,11,Associate Data Analyst,Analytics Department,44463
16,1992,5,1998,8,Associate Backend Engineer,IT Department,41417
16,1998,8,2003,9,Backend Engineer,IT Department,63000
16,2004,9,2016,4,Backend Engineer II,IT Department,84666
17,2005,4,2011,7,Associate Data Analyst,Analytics Department,44523
18,2003,7,2009,1,Associate Frontend Engineer,IT Department,44421
19,2011,12,2014,12,Associate Backend Engineer,IT Department,41492
20,1999,12,2005,6,Associate Backend Engineer,IT Department,41517
20,2005,6,2010,1,Backend Engineer,IT Department,63100
20,2010,1,2011,12,Backend Engineer II,IT Department,84766
21,1994,4,2000,6,Associate Frontend Engineer,IT Department,44361
21,2001,6,2006,4,Frontend Engineer,IT Department,64146
21,2006,4,2010,10,Frontend Engineer II,IT Department,85414
