id,year,month,Rating,exp_yr_count,Manager ID
1,2010,3,3.39,1,114
1,2011,3,2.54,2,108
1,2012,3,2.72,3,103
1,2013,3,3.5,4,119
1,2014,3,3.11,5,111
1,2015,3,3.32,6,108
1,2016,3,3.34,7,103
1,2017,3,3.26,8,119
1,2018,3,4.02,9,120
1,2019,3,2.82,10,102
2,2011,3,3.32,1,103
2,2012,3,4.62,2,102
2,2013,3,3.84,3,118
2,2014,3,4,4,120
2,2015,3,4.68,5,102
2,2016,3,3.94,6,108
2,2017,3,3.43,7,106
2,2018,3,3.32,8,119
2,2019,3,4.28,9,114
3,2016,3,3.58,1,122
3,2017,3,3.58,2,121
3,2018,3,3.8,3,118
3,2019,3,3.98,4,122
4,2016,3,4.2,1,109
4,2017,3,3.19,2,112
4,2018,3,3.04,3,122
4,2019,3,4.24,4,115
5,2012,3,3.36,1,122
5,2013,3,4.08,2,122
5,2014,3,3.54,3,116
5,2015,3,2.58,4,124
5,2016,3,3.61,5,118
5,2017,3,3.34,6,123
5,2018,3,3.71,7,102
5,2019,3,3.57,8,113
6,2017,3,3.87,1,117
6,2018,3,4.41,2,118
6,2019,3,3.74,3,122
7,2011,3,3.55,1,107
7,2012,3,3.57,2,122
7,2013,3,4.3,3,121
7,2014,3,3.6,4,117
7,2015,3,4.17,5,107
7,2016,3,3.78,6,117
7,2017,3,2.85,7,119
7,2018,3,3.43,8,118
7,2019,3,3.26,9,120
8,2012,3,3.39,1,109
8,2013,3,3.17,2,107
8,2014,3,3.98,3,102
8,2015,3,4.29,4,110
8,2016,3,3.07,5,114
8,2017,3,3.12,6,116
8,2018,3,4.74,7,115
8,2019,3,3.36,8,107
9,2015,3,3,1,121
9,2016,3,3.41,2,115
9,2017,3,4.86,3,119
9,2018,3,3.35,4,107
9,2019,3,3.64,5,106
10,2011,3,3.6,1,103
10,2012,3,4.16,2,115
10,2013,3,3.23,3,117
10,2014,3,3.88,4,102
10,2015,3,2.92,5,112
10,2016,3,3.44,6,116
10,2017,3,3.77,7,119
10,2018,3,3.81,8,123
10,2019,3,3.7,9,117
11,2010,3,3.5,1,120
11,2011,3,3.43,2,102
11,2012,3,3.25,3,114
11,2013,3,4.57,4,105
11,2014,3,3.44,5,113
11,2015,3,4.41,6,104
11,2016,3,2.92,7,108
11,2017,3,3.79,8,118
11,2018,3,4,9,115
11,2019,3,3.65,10,111
12,2011,3,4,1,101
12,2012,3,3.44,2,124
12,2013,3,3.5,3,102
12,2014,3,4.3,4,116
12,2015,3,3.13,5,106
12,2016,3,3.32,6,101
12,2017,3,4.33,7,108
12,2018,3,4.14,8,124
12,2019,3,4.93,9,104
13,2008,3,3.62,1,105
13,2009,3,4.43,2,111
13,2010,3,4.38,3,103
13,2011,3,3.59,4,122
13,2012,3,4.44,5,119
13,2013,3,3.45,6,103
13,2014,3,4.37,7,113
13,2015,3,3.64,8,101
13,2016,3,3.83,9,113
13,2017,3,4,10,107
13,2018,3,3.76,11,104
13,2019,3,3.31,12,108
14,2013,3,3.31,1,107
14,2014,3,3.64,2,109
14,2015,3,3.96,3,115
14,2016,3,4.06,4,102
14,2017,3,3.59,5,120
14,2018,3,3.35,6,112
14,2019,3,4.06,7,123
15,2016,3,2.99,1,114
15,2017,3,3.9,2,119
15,2018,3,3.11,3,114
15,2019,3,3.55,4,113
16,2016,3,2.78,1,122
16,2017,3,3.86,2,115
16,2018,3,3.99,3,101
16,2019,3,3.72,4,114
17,2011,3,4.53,1,111
17,2012,3,3.92,2,116
17,2013,3,3.93,3,111
17,2014,3,4.18,4,103
17,2015,3,3.17,5,107
17,2016,3,3.25,6,108
17,2017,3,3.11,7,121
17,2018,3,4.55,8,110
17,2019,3,3.21,9,124
18,2009,3,3.84,1,117
18,2010,3,2.74,2,102
18,2011,3,3.35,3,104
18,2012,3,3.56,4,121
18,2013,3,3.9,5,123
18,2014,3,3.66,6,108
18,2015,3,4.27,7,102
18,2016,3,3.65,8,124
18,2017,3,4.13,9,102
18,2018,3,3.96,10,110
18,2019,3,3.2,11,116
19,2014,3,4,1,106
19,2015,3,3.63,2,120
19,2016,3,3.62,3,111
19,2017,3,4.21,4,121
19,2018,3,3.24,5,110
19,2019,3,2.89,6,121
20,2011,3,3.47,1,115
20,2012,3,3.04,2,107
20,2013,3,3.34,3,110
20,2014,3,3.57,4,105
20,2015,3,4.3,5,103
20,2016,3,3.06,6,102
20,2017,3,4.45,7,107
20,2018,3,3.12,8,123
20,2019,3,3.79,9,103
21,2010,3,4.63,1,116
21,2011,3,3.94,2,101
21,2012,3,3.66,3,121
21,2013,3,3.92,4,113
21,2014,3,3.99,5,108
21,2015,3,4.17,6,123
21,2016,3,3.47,7,118
21,2017,3,3.1,8,105
21,2018,3,3.34,9,102
21,2019,3,4.22,10,119
22,2015,3,3.92,1,113
22,2016,3,4.17,2,113
22,2017,3,3.16,3,105
22,2018,3,3.09,4,121
22,2019,3,4.99,5,119
23,2016,3,3.86,1,103
23,2017,3,3.63,2,114
23,2018,3,4.28,3,120
23,2019,3,3.73,4,101
24,2016,3,4.43,1,123
24,2017,3,3.3,2,113
24,2018,3,3.94,3,113
24,2019,3,3.44,4,109
25,2012,3,3.83,1,110
25,2013,3,2.68,2,105
25,2014,3,3.72,3,121
25,2015,3,3.41,4,103
25,2016,3,3.81,5,119
25,2017,3,3.71,6,115
25,2018,3,4.49,7,120
25,2019,3,4.6,8,107
26,2012,3,3.26,1,105
26,2013,3,3.35,2,119
26,2014,3,3.22,3,103
26,2015,3,3.3,4,102
26,2016,3,3.84,5,109
26,2017,3,3.98,6,113
26,2018,3,2.89,7,110
26,2019,3,3.61,8,111
27,2011,3,3.44,1,102
27,2012,3,4.61,2,115
27,2013,3,3.98,3,114
27,2014,3,3.87,4,105
27,2015,3,2.21,5,110
27,2016,3,3.68,6,110
27,2017,3,3.96,7,111
27,2018,3,4.28,8,116
27,2019,3,3.66,9,111
28,2015,3,4.66,1,113
28,2016,3,3.43,2,116
28,2017,3,4.13,3,110
28,2018,3,2.82,4,118
28,2019,3,4.33,5,121
29,2011,3,4.47,1,101
29,2012,3,3.11,2,120
29,2013,3,3.43,3,105
29,2014,3,3.79,4,112
29,2015,3,4.43,5,112
29,2016,3,3.72,6,111
29,2017,3,3.99,7,115
29,2018,3,4.09,8,120
29,2019,3,4.04,9,104
30,2009,3,3.81,1,124
30,2010,3,3.98,2,116
30,2011,3,4.03,3,116
30,2012,3,3.48,4,113
30,2013,3,3.75,5,115
30,2014,3,2.65,6,111
30,2015,3,3.92,7,102
30,2016,3,3.82,8,124
30,2017,3,3.45,9,102
30,2018,3,3.73,10,121
30,2019,3,3.42,11,118
31,2014,3,3.74,1,108
31,2015,3,3.44,2,121
31,2016,3,3.16,3,110
31,2017,3,3.59,4,113
31,2018,3,3.74,5,117
31,2019,3,4.21,6,103
32,2009,3,3.44,1,106
32,2010,3,3.92,2,104
32,2011,3,2.57,3,102
32,2012,3,3.71,4,101
32,2013,3,3.79,5,118
32,2014,3,3.37,6,105
32,2015,3,4.34,7,106
32,2016,3,4.45,8,115
32,2017,3,4.37,9,112
32,2018,3,3.86,10,102
32,2019,3,3.5,11,121
33,2008,3,2.39,1,106
33,2009,3,3.46,2,124
33,2010,3,2.74,3,117
33,2011,3,3.47,4,121
33,2012,3,2.76,5,118
33,2013,3,4.07,6,110
33,2014,3,3.85,7,117
33,2015,3,3.74,8,114
33,2016,3,3.74,9,124
33,2017,3,3.87,10,121
33,2018,3,3.85,11,111
33,2019,3,4.63,12,110
34,2011,3,3.29,1,114
34,2012,3,4.51,2,113
34,2013,3,4.75,3,119
34,2014,3,4.13,4,110
34,2015,3,3.81,5,117
34,2016,3,3.67,6,122
34,2017,3,3.77,7,105
34,2018,3,4.02,8,114
34,2019,3,3.79,9,112
35,2009,3,3.78,1,111
35,2010,3,3.27,2,101
35,2011,3,2.84,3,109
35,2012,3,4.17,4,105
35,2013,3,3.87,5,111
35,2014,3,4.4,6,103
35,2015,3,4.16,7,103
35,2016,3,2.95,8,120
35,2017,3,3.66,9,112
35,2018,3,3.41,10,110
35,2019,3,4.13,11,109
36,2012,3,2.82,1,101
36,2013,3,3.92,2,112
36,2014,3,4.43,3,120
36,2015,3,3.77,4,111
36,2016,3,3.29,5,109
36,2017,3,4.1,6,102
36,2018,3,3.54,7,124
36,2019,3,3.73,8,107
37,2011,3,3.98,1,110
37,2012,3,3.98,2,121
37,2013,3,4.54,3,109
37,2014,3,3.83,4,111
37,2015,3,4.01,5,113
37,2016,3,3.15,6,113
37,2017,3,3.81,7,103
37,2018,3,3.35,8,105
37,2019,3,4.43,9,103
38,2011,3,4.44,1,120
38,2012,3,2.44,2,101
38,2013,3,3.99,3,121
38,2014,3,4.78,4,105
38,2015,3,2.81,5,108
38,2016,3,2.71,6,124
38,2017,3,3.63,7,102
38,2018,3,3.23,8,112
38,2019,3,2.91,9,104
39,2010,3,4.46,1,102
39,2011,3,4.2,2,115
39,2012,3,4.02,3,105
39,2013,3,2.5,4,123
39,2014,3,3.56,5,120
39,2015,3,4.28,6,115
39,2016,3,4.18,7,107
