department,end_month,id,job_title,p_end,p_start,start_month
IT Department,10,1,Backend Engineer II,2016.0,2010.0,3
,5,1,,-99.0,2016.0,10
IT Department,2,2,Frontend Engineer II,2017.0,2011.0,12
,9,2,,-99.0,2017.0,2
Analytics Department,3,3,Data Analyst II,2017.0,2011.0,10
,12,3,,-99.0,2017.0,3
IT Department,11,4,Frontend Engineer II,-99.0,2016.0,9
IT Department,7,5,Backend Engineer II,2018.0,2012.0,2
,8,5,,-99.0,2018.0,7
Analytics Department,11,6,Backend Engineer II,-99.0,2017.0,11
Analytics Department,9,7,Data Analyst II,2017.0,2011.0,11
,9,7,,-99.0,2017.0,9
IT Department,3,8,Backend Engineer II,2018.0,2012.0,8
,1,8,,-99.0,2018.0,3
Administration Department,5,9,Manager,-99.0,2015.0,9
IT Department,1,10,Associate Frontend Engineer,2018.0,2012.0,2
,11,10,,-99.0,2018.0,1
IT Department,8,11,Backend Engineer II,2019.0,2013.0,8
,5,11,,-99.0,2019.0,8
Administration Department,1,12,Manager,-99.0,2014.0,11
Analytics Department,7,13,Associate Data Analyst,2014.0,2008.0,2
,12,13,,2019.0,2014.0,7
,1,13,,-99.0,2019.0,12
Analytics Department,2,14,Associate Data Analyst,-99.0,2014.0,11
Analytics Department,6,15,Jr Data Analyst,-99.0,2016.0,5
Analytics Department,6,16,Backend Engineer II,-99.0,2015.0,4
Analytics Department,10,17,Associate Data Analyst,2017.0,2011.0,7
,8,17,,-99.0,2017.0,10
IT Department,9,18,Associate Frontend Engineer,2015.0,2009.0,1
,5,18,,-99.0,2015.0,9
IT Department,11,19,Associate Backend Engineer,-99.0,2015.0,12
Analytics Department,8,20,Backend Engineer II,2017.0,2011.0,12
,2,20,,-99.0,2017.0,8
IT Department,10,21,Frontend Engineer II,2016.0,2010.0,10
,5,21,,-99.0,2016.0,10
Analytics Department,3,22,Data Analyst II,-99.0,2015.0,8
IT Department,6,23,Backend Engineer II,-99.0,2016.0,9
Analytics Department,1,24,Data Analyst II,2017.0,2011.0,12
,3,24,,-99.0,2017.0,1
IT Department,10,25,Associate Frontend Engineer,2019.0,2013.0,5
,9,25,,-99.0,2019.0,10
Analytics Department,9,26,Associate Data Analyst,2016.0,2010.0,5
,10,26,,-99.0,2016.0,9
Analytics Department,2,27,Associate Backend Engineer,2017.0,2011.0,9
,4,27,,-99.0,2017.0,2
IT Department,10,28,Frontend Engineer II,-99.0,2015.0,11
Analytics Department,4,29,Associate Data Analyst,2018.0,2012.0,3
,1,29,,-99.0,2018.0,4
Analytics Department,2,30,Associate Backend Engineer,2016.0,2010.0,8
,3,30,,-99.0,2016.0,2
Analytics Department,10,31,Associate Backend Engineer,-99.0,2015.0,11
Analytics Department,7,32,Backend Engineer,2015.0,2009.0,9
,1,32,,-99.0,2015.0,7
IT Department,2,33,Associate Frontend Engineer,2014.0,2008.0,9
,1,33,,2019.0,2014.0,2
,1,33,,-99.0,2019.0,1
Analytics Department,4,34,Associate Backend Engineer,2017.0,2011.0,6
,10,34,,-99.0,2017.0,4
Analytics Department,12,35,Associate Backend Engineer,2016.0,2010.0,5
,12,35,,-99.0,2016.0,12
Analytics Department,12,36,Associate Data Analyst,2019.0,2013.0,10
,8,36,,-99.0,2019.0,12
Analytics Department,4,37,Data Analyst II,2017.0,2011.0,2
,9,37,,-99.0,2017.0,4
Analytics Department,8,38,Backend Engineer II,2017.0,2011.0,9
,6,38,,-99.0,2017.0,8
IT Department,1,39,Frontend Engineer II,2019.0,2013.0,8
,12,39,,-99.0,2019.0,1
IT Department,8,40,Backend Engineer II,-99.0,2014.0,5
IT Department,8,41,Associate Frontend Engineer,2018.0,2012.0,7
,3,41,,-99.0,2018.0,8
Analytics Department,5,42,Associate Data Analyst,-99.0,2016.0,3
Analytics Department,7,43,Associate Data Analyst,2012.0,2006.0,3
,12,43,,2017.0,2012.0,7
,12,43,,-99.0,2017.0,12
Analytics Department,10,44,Associate Backend Engineer,2011.0,2005.0,9
,9,44,,2016.0,2011.0,10
,12,44,,-99.0,2016.0,9
IT Department,12,45,Associate Backend Engineer,2019.0,2013.0,12
,8,45,,-99.0,2019.0,12
IT Department,10,46,Frontend Engineer II,2017.0,2011.0,10
,1,46,,-99.0,2017.0,10
Analytics Department,2,47,Associate Data Analyst,-99.0,2014.0,10
IT Department,2,48,Associate Backend Engineer,2012.0,2006.0,4
,6,48,,2017.0,2012.0,2
,12,48,,-99.0,2017.0,6
IT Department,9,49,Associate Backend Engineer,2018.0,2012.0,4
,5,49,,-99.0,2018.0,9
Analytics Department,10,50,Associate Data Analyst,2019.0,2013.0,10
,7,50,,-99.0,2019.0,10
Analytics Department,3,51,Backend Engineer II,2017.0,2011.0,11
,11,51,,-99.0,2017.0,3
Analytics Department,2,52,Backend Engineer,2014.0,2008.0,2
,3,52,,2019.0,2014.0,2
,4,52,,-99.0,2019.0,3
Administration Department,5,53,Manager,-99.0,2015.0,5
IT Department,3,54,Backend Engineer II,-99.0,2016.0,9
Analytics Department,7,55,Associate Data Analyst,2017.0,2011.0,4
,4,55,,-99.0,2017.0,7
IT Department,5,56,Jr Backend Engineer,-99.0,2014.0,4
Analytics Department,3,57,Data Analyst II,2017.0,2011.0,7
,5,57,,-99.0,2017.0,3
Administration Department,10,58,Associate Manager,2014.0,2008.0,3
,3,58,,2019.0,2014.0,10
,2,58,,-99.0,2019.0,3
IT Department,6,59,Associate Backend Engineer,2015.0,2009.0,4
,6,59,,-99.0,2015.0,6
Administration Department,11,60,Manager,2019.0,2013.0,5
,1,60,,-99.0,2019.0,11
Analytics Department,9,61,Backend Engineer II,2019.0,2013.0,1
,7,61,,-99.0,2019.0,9
Administration Department,2,62,Jr Manager,2019.0,2013.0,12
,11,62,,-99.0,2019.0,2
Analytics Department,4,63,Data Analyst II,2016.0,2010.0,4
,6,63,,-99.0,2016.0,4
Analytics Department,11,64,Associate Backend Engineer,2018.0,2012.0,1
,12,64,,-99.0,2018.0,11
Analytics Department,11,65,Associate Data Analyst,-99.0,2015.0,3
Analytics Department,1,66,Data Analyst II,2018.0,2012.0,12
,10,66,,-99.0,2018.0,1
IT Department,8,67,Associate Frontend Engineer,-99.0,2016.0,6
IT Department,9,68,Backend Engineer II,2017.0,2011.0,4
,1,68,,-99.0,2017.0,9
Analytics Department,11,69,Associate Backend Engineer,-99.0,2014.0,3
Analytics Department,6,70,Data Analyst II,2016.0,2010.0,11
,6,70,,-99.0,2016.0,6
Analytics Department,6,71,Associate Backend Engineer,2019.0,2013.0,3
,7,71,,-99.0,2019.0,6
Analytics Department,5,72,Data Analyst II,-99.0,2016.0,2
IT Department,4,73,Backend Engineer,2014.0,2008.0,11
,12,73,,2019.0,2014.0,4
,8,73,,-99.0,2019.0,12
