id,p_start,exp_yr_count,job_title,department,grade,salary,medical_leaves
1,2010,1,Sr Backend Engineer,IT Department,7,120925,3
1,2011,2,Sr Backend Engineer,IT Department,7,124947,20
1,2012,3,Sr Backend Engineer,IT Department,7,126961,18
1,2013,4,Sr Backend Engineer,IT Department,7,128977,7
1,2014,5,Sr Backend Engineer,IT Department,7,130995,8
1,2015,6,Sr Backend Engineer,IT Department,7,133015,19
1,2016,7,Team Lead,IT Department,8,169699,16
1,2017,8,Team Lead,IT Department,8,185835,18
1,2018,9,Team Lead,IT Department,8,187861,16
1,2019,10,Team Lead,IT Department,8,189889,2
2,2011,1,Frontend Engineer II,IT Department,6,96256,10
2,2012,2,Frontend Engineer II,IT Department,6,100280,3
2,2013,3,Frontend Engineer II,IT Department,6,102295,4
2,2014,4,Frontend Engineer II,IT Department,6,104312,11
2,2015,5,Frontend Engineer II,IT Department,6,106331,0
2,2016,6,Frontend Engineer II,IT Department,6,108352,15
2,2017,7,Sr Frontend Engineer,IT Department,7,120132,1
2,2018,8,Sr Frontend Engineer,IT Department,7,136276,11
2,2019,9,Sr Frontend Engineer,IT Department,7,138303,7
3,2016,1,Data Analyst II,Analytics Department,6,115457,15
3,2017,2,Data Analyst II,Analytics Department,6,119491,17
3,2018,3,Data Analyst II,Analytics Department,6,121511,1
3,2019,4,Data Analyst II,Analytics Department,6,123533,14
4,2016,1,Frontend Engineer II,IT Department,6,96206,7
4,2017,2,Frontend Engineer II,IT Department,6,100240,17
4,2018,3,Frontend Engineer II,IT Department,6,102260,4
4,2019,4,Frontend Engineer II,IT Department,6,104282,8
5,2012,1,Sr Backend Engineer,IT Department,7,121025,2
5,2013,2,Sr Backend Engineer,IT Department,7,125051,11
5,2014,3,Sr Backend Engineer,IT Department,7,127067,1
5,2015,4,Sr Backend Engineer,IT Department,7,129085,13
5,2016,5,Sr Backend Engineer,IT Department,7,131105,8
5,2017,6,Sr Backend Engineer,IT Department,7,133127,17
5,2018,7,Team Lead,IT Department,8,169779,20
5,2019,8,Team Lead,IT Department,8,185931,9
6,2017,1,Sr Backend Engineer,IT Department,7,121050,12
6,2018,2,Sr Backend Engineer,IT Department,7,125086,5
6,2019,3,Sr Backend Engineer,IT Department,7,127107,1
7,2011,1,Data Analyst II,Analytics Department,6,115537,4
7,2012,2,Data Analyst II,Analytics Department,6,119561,7
7,2013,3,Data Analyst II,Analytics Department,6,121576,6
7,2014,4,Data Analyst II,Analytics Department,6,123593,17
7,2015,5,Data Analyst II,Analytics Department,6,125612,12
7,2016,6,Data Analyst II,Analytics Department,6,127633,15
7,2017,7,Data Scientist,Analytics Department,7,149304,5
7,2018,8,Data Scientist,Analytics Department,7,165448,16
7,2019,9,Data Scientist,Analytics Department,7,167475,18
8,2012,1,Sr Backend Engineer,IT Department,7,121100,14
8,2013,2,Sr Backend Engineer,IT Department,7,125126,1
8,2014,3,Sr Backend Engineer,IT Department,7,127142,11
8,2015,4,Sr Backend Engineer,IT Department,7,129160,19
8,2016,5,Sr Backend Engineer,IT Department,7,131180,7
8,2017,6,Sr Backend Engineer,IT Department,7,133202,4
8,2018,7,Team Lead,IT Department,8,169839,3
8,2019,8,Team Lead,IT Department,8,185991,14
9,2015,1,Sr Manager,Administration Department,10,205684,4
9,2016,2,Sr Manager,Administration Department,10,209716,12
9,2017,3,Sr Manager,Administration Department,10,211735,7
9,2018,4,Sr Manager,Administration Department,10,213756,6
9,2019,5,Sr Manager,Administration Department,10,215779,16
10,2011,1,Associate Frontend Engineer,IT Department,4,55609,8
10,2012,2,Associate Frontend Engineer,IT Department,4,59633,6
10,2013,3,Associate Frontend Engineer,IT Department,4,61648,2
10,2014,4,Associate Frontend Engineer,IT Department,4,63665,12
10,2015,5,Associate Frontend Engineer,IT Department,4,65684,7
10,2016,6,Associate Frontend Engineer,IT Department,4,67705,19
10,2017,7,Frontend Engineer,IT Department,5,71262,14
10,2018,8,Frontend Engineer,IT Department,5,87406,1
10,2019,9,Frontend Engineer,IT Department,5,89433,20
11,2010,1,Sr Backend Engineer,IT Department,7,121175,10
11,2011,2,Sr Backend Engineer,IT Department,7,125197,20
11,2012,3,Sr Backend Engineer,IT Department,7,127211,12
11,2013,4,Sr Backend Engineer,IT Department,7,129227,13
11,2014,5,Sr Backend Engineer,IT Department,7,131245,8
11,2015,6,Sr Backend Engineer,IT Department,7,133265,11
11,2016,7,Team Lead,IT Department,8,169899,19
11,2017,8,Team Lead,IT Department,8,186035,8
11,2018,9,Team Lead,IT Department,8,188061,9
11,2019,10,Team Lead,IT Department,8,190089,6
12,2011,1,Sr Manager,Administration Department,10,205744,10
12,2012,2,Sr Manager,Administration Department,10,209768,13
12,2013,3,Sr Manager,Administration Department,10,211783,3
12,2014,4,Sr Manager,Administration Department,10,213800,17
12,2015,5,Sr Manager,Administration Department,10,215819,10
12,2016,6,Sr Manager,Administration Department,10,217840,3
12,2017,7,Director,Administration Department,12,422838,20
12,2018,8,Director,Administration Department,12,438982,6
12,2019,9,Director,Administration Department,12,441009,20
13,2008,1,Associate Data Analyst,Analytics Department,4,65772,15
13,2009,2,Associate Data Analyst,Analytics Department,4,69790,3
13,2010,3,Associate Data Analyst,Analytics Department,4,71802,11
13,2011,4,Associate Data Analyst,Analytics Department,4,73816,7
13,2012,5,Associate Data Analyst,Analytics Department,4,75832,9
13,2013,6,Associate Data Analyst,Analytics Department,4,77850,16
13,2014,7,Data Analyst,Analytics Department,5,88404,19
13,2015,8,Data Analyst,Analytics Department,5,104524,12
13,2016,9,Data Analyst,Analytics Department,5,106548,1
13,2017,10,Data Analyst,Analytics Department,5,108574,6
13,2018,11,Data Analyst,Analytics Department,5,110602,8
13,2019,12,Data Analyst II,Analytics Department,6,115657,7
14,2013,1,Associate Data Analyst,Analytics Department,4,65817,0
14,2014,2,Associate Data Analyst,Analytics Department,4,69845,19
14,2015,3,Associate Data Analyst,Analytics Department,4,71862,15
14,2016,4,Associate Data Analyst,Analytics Department,4,73881,10
14,2017,5,Associate Data Analyst,Analytics Department,4,75902,12
14,2018,6,Associate Data Analyst,Analytics Department,4,77925,10
14,2019,7,Data Analyst,Analytics Department,5,88424,5
15,2016,1,Associate Data Analyst,Analytics Department,4,65852,15
15,2017,2,Associate Data Analyst,Analytics Department,4,69886,3
15,2018,3,Associate Data Analyst,Analytics Department,4,71906,14
15,2019,4,Associate Data Analyst,Analytics Department,4,73928,7
16,2016,1,Sr Backend Engineer,IT Department,7,121300,4
16,2017,2,Sr Backend Engineer,IT Department,7,125334,6
16,2018,3,Sr Backend Engineer,IT Department,7,127354,4
16,2019,4,Sr Backend Engineer,IT Department,7,129376,3
17,2011,1,Associate Data Analyst,Analytics Department,4,65867,4
17,2012,2,Associate Data Analyst,Analytics Department,4,69891,4
17,2013,3,Associate Data Analyst,Analytics Department,4,71906,14
17,2014,4,Associate Data Analyst,Analytics Department,4,73923,9
17,2015,5,Associate Data Analyst,Analytics Department,4,75942,20
