id,start_year,start_month,end_year,end_month,job_title,department
1,1994.0,12,2000.0,3,Associate Backend Engineer,IT Department
1,2001.0,3,2006.0,10,Backend Engineer,IT Department
1,2006.0,10,2010.0,3,Backend Engineer II,IT Department
2,1995.0,12,2001.0,11,Associate Frontend Engineer,IT Department
2,2002.0,11,2007.0,1,Frontend Engineer,IT Department
2,2007.0,1,2011.0,12,Frontend Engineer II,IT Department
3,1988.0,12,1994.0,10,Associate Data Analyst,Analytics Department
3,1994.0,10,1999.0,5,Data Analyst,Analytics Department
3,1999.0,5,2011.0,10,Data Analyst II,Analytics Department
4,1993.0,12,1999.0,9,Associate Frontend Engineer,IT Department
4,1999.0,9,2004.0,3,Frontend Engineer,IT Department
4,2004.0,3,2016.0,9,Frontend Engineer II,IT Department
5,1997.0,7,2003.0,3,Associate Frontend Engineer,IT Department
5,2003.0,3,2008.0,6,Frontend Engineer,IT Department
5,2008.0,6,2012.0,2,Backend Engineer II,IT Department
6,1993.0,12,1999.0,12,Associate Backend Engineer,Analytics Department
6,2000.0,12,2005.0,10,Backend Engineer,Analytics Department
6,2005.0,10,2017.0,11,Backend Engineer II,Analytics Department
7,1998.0,12,2004.0,10,Associate Data Analyst,Analytics Department
7,2004.0,10,2009.0,9,Data Analyst,Analytics Department
7,2010.0,9,2011.0,11,Data Analyst II,Analytics Department
8,1996.0,5,2002.0,12,Associate Backend Engineer,IT Department
8,2002.0,12,2007.0,12,Backend Engineer,IT Department
8,2008.0,12,2012.0,8,Backend Engineer II,IT Department
9,1992.0,5,1998.0,10,Associate Manager,Administration Department
9,1998.0,10,2003.0,9,Assistant Manager,Administration Department
9,2003.0,9,2015.0,9,Manager,Administration Department
10,2008.0,12,2012.0,2,Associate Frontend Engineer,IT Department
11,1990.0,12,1996.0,2,Associate Backend Engineer,IT Department
11,1996.0,2,2001.0,3,Backend Engineer,IT Department
11,2001.0,3,2013.0,8,Backend Engineer II,IT Department
12,1990.0,5,1996.0,5,Associate Manager,Administration Department
12,1997.0,5,2002.0,1,Assistant Manager,Administration Department
12,2002.0,1,2014.0,11,Manager,Administration Department
13,2002.0,5,2008.0,2,Associate Data Analyst,Analytics Department
14,2010.0,12,2014.0,11,Associate Data Analyst,Analytics Department
16,1991.0,5,1997.0,8,Associate Backend Engineer,Analytics Department
16,1997.0,8,2002.0,9,Backend Engineer,Analytics Department
16,2003.0,9,2015.0,4,Backend Engineer II,Analytics Department
17,2005.0,4,2011.0,7,Associate Data Analyst,Analytics Department
18,2003.0,7,2009.0,1,Associate Frontend Engineer,IT Department
19,2011.0,12,2015.0,12,Associate Backend Engineer,IT Department
20,1999.0,12,2005.0,6,Associate Backend Engineer,Analytics Department
20,2005.0,6,2010.0,1,Backend Engineer,Analytics Department
20,2010.0,1,2011.0,12,Backend Engineer II,Analytics Department
21,1994.0,4,2000.0,6,Associate Frontend Engineer,IT Department
21,2001.0,6,2006.0,4,Frontend Engineer,IT Department
21,2006.0,4,2010.0,10,Frontend Engineer II,IT Department
22,1992.0,4,1998.0,9,Associate Data Analyst,Analytics Department
22,1998.0,9,2003.0,11,Data Analyst,Analytics Department
22,2003.0,11,2015.0,8,Data Analyst II,Analytics Department
23,1992.0,12,1998.0,10,Associate Backend Engineer,IT Department
23,1999.0,10,2004.0,7,Backend Engineer,IT Department
23,2004.0,7,2016.0,9,Backend Engineer II,IT Department
24,1988.0,5,1994.0,5,Associate Data Analyst,Analytics Department
24,1994.0,5,1999.0,10,Data Analyst,Analytics Department
24,1999.0,10,2011.0,12,Data Analyst II,Analytics Department
25,2009.0,12,2013.0,5,Associate Frontend Engineer,IT Department
26,2006.0,7,2010.0,5,Associate Data Analyst,Analytics Department
27,2005.0,12,2011.0,9,Associate Backend Engineer,Analytics Department
28,1991.0,12,1997.0,2,Associate Frontend Engineer,IT Department
28,1998.0,2,2003.0,2,Frontend Engineer,IT Department
28,2003.0,2,2015.0,11,Frontend Engineer II,IT Department
29,2008.0,5,2012.0,3,Associate Data Analyst,Analytics Department
30,2006.0,12,2010.0,8,Associate Backend Engineer,Analytics Department
31,2011.0,12,2015.0,11,Associate Backend Engineer,Analytics Department
32,1998.0,12,2004.0,1,Associate Backend Engineer,Analytics Department
32,2004.0,1,2009.0,9,Backend Engineer,Analytics Department
33,2002.0,12,2008.0,9,Associate Frontend Engineer,IT Department
34,2005.0,5,2011.0,6,Associate Backend Engineer,Analytics Department
35,2006.0,7,2010.0,5,Associate Backend Engineer,Analytics Department
36,2009.0,5,2013.0,10,Associate Data Analyst,Analytics Department
37,1996.0,12,2002.0,3,Associate Data Analyst,Analytics Department
37,2002.0,3,2007.0,12,Data Analyst,Analytics Department
37,2007.0,12,2011.0,2,Data Analyst II,Analytics Department
38,1999.0,5,2005.0,3,Associate Backend Engineer,Analytics Department
38,2005.0,3,2010.0,8,Backend Engineer,Analytics Department
38,2010.0,8,2011.0,9,Backend Engineer II,Analytics Department
39,1989.0,7,1995.0,12,Associate Frontend Engineer,IT Department
39,1995.0,12,2000.0,2,Frontend Engineer,IT Department
39,2001.0,2,2013.0,8,Frontend Engineer II,IT Department
40,1990.0,12,1996.0,11,Associate Backend Engineer,IT Department
40,1997.0,11,2002.0,1,Backend Engineer,IT Department
