id,year,status
1,2006.0,Single
1,2007.0,Married
1,2008.0,Single
1,2009.0,Married
1,2010.0,Single
1,2011.0,Married
1,2012.0,Single
1,2013.0,Single
1,2014.0,Single
1,2015.0,Married
1,2016.0,Single
1,2017.0,Married
1,2018.0,Single
2,2011.0,Married
2,2012.0,Married
2,2013.0,Single
2,2014.0,Married
2,2015.0,Married
2,2016.0,Single
2,2017.0,Married
2,2018.0,Single
3,2018.0,Single
4,2010.0,Married
4,2011.0,Single
4,2012.0,Married
4,2013.0,Single
4,2014.0,Married
4,2015.0,Married
4,2016.0,Single
4,2017.0,Married
4,2018.0,Single
5,2012.0,Married
5,2013.0,Single
5,2014.0,Married
5,2015.0,Married
5,2016.0,Single
5,2017.0,Married
5,2018.0,Married
6,2010.0,Single
6,2011.0,Single
6,2012.0,Married
6,2013.0,Single
6,2014.0,Married
6,2015.0,Married
6,2016.0,Single
6,2017.0,Single
6,2018.0,Married
7,2009.0,Married
7,2010.0,Married
7,2011.0,Single
7,2012.0,Single
7,2013.0,Single
7,2014.0,Married
7,2015.0,Married
7,2016.0,Married
7,2017.0,Married
7,2018.0,Married
8,2014.0,Married
8,2015.0,Married
8,2016.0,Married
8,2017.0,Single
8,2018.0,Married
9,2013.0,Single
9,2014.0,Married
9,2015.0,Single
9,2016.0,Single
9,2017.0,Married
9,2018.0,Married
10,2010.0,Married
10,2011.0,Single
10,2012.0,Married
10,2013.0,Single
10,2014.0,Married
10,2015.0,Single
10,2016.0,Married
10,2017.0,Married
10,2018.0,Married
11,2011.0,Single
11,2012.0,Single
11,2013.0,Married
11,2014.0,Married
11,2015.0,Single
11,2016.0,Single
11,2017.0,Married
11,2018.0,Single
12,2013.0,Married
12,2014.0,Single
12,2015.0,Single
12,2016.0,Single
12,2017.0,Married
12,2018.0,Married
13,2014.0,Married
13,2015.0,Married
13,2016.0,Single
13,2017.0,Single
13,2018.0,Married
14,2015.0,Single
14,2016.0,Single
14,2017.0,Single
14,2018.0,Single
15,2013.0,Single
15,2014.0,Single
15,2015.0,Married
15,2016.0,Single
15,2017.0,Single
15,2018.0,Married
16,2012.0,Single
16,2013.0,Married
16,2014.0,Single
16,2015.0,Single
16,2016.0,Married
16,2017.0,Single
16,2018.0,Single
17,2015.0,Single
17,2016.0,Married
17,2017.0,Single
17,2018.0,Single
18,2013.0,Married
18,2014.0,Married
18,2015.0,Single
18,2016.0,Married
18,2017.0,Married
18,2018.0,Married
19,2016.0,Single
19,2017.0,Single
19,2018.0,Single
20,2014.0,Single
20,2015.0,Single
20,2016.0,Single
20,2017.0,Married
20,2018.0,Married
21,2006.0,Single
21,2007.0,Single
21,2008.0,Single
21,2009.0,Single
21,2010.0,Single
21,2011.0,Married
21,2012.0,Single
21,2013.0,Single
21,2014.0,Married
21,2015.0,Married
21,2016.0,Married
21,2017.0,Married
21,2018.0,Married
22,2008.0,Married
22,2009.0,Married
22,2010.0,Single
22,2011.0,Single
22,2012.0,Married
22,2013.0,Married
22,2014.0,Married
22,2015.0,Single
22,2016.0,Single
22,2017.0,Single
22,2018.0,Single
23,2014.0,Single
23,2015.0,Married
23,2016.0,Single
23,2017.0,Married
23,2018.0,Married
24,2015.0,Single
24,2016.0,Single
24,2017.0,Married
24,2018.0,Married
25,2011.0,Single
25,2012.0,Married
25,2013.0,Single
25,2014.0,Single
25,2015.0,Single
25,2016.0,Single
25,2017.0,Single
25,2018.0,Single
26,2013.0,Married
26,2014.0,Married
26,2015.0,Single
26,2016.0,Married
26,2017.0,Single
26,2018.0,Married
27,2012.0,Single
27,2013.0,Married
27,2014.0,Single
27,2015.0,Single
27,2016.0,Married
27,2017.0,Single
27,2018.0,Single
28,2015.0,Married
28,2016.0,Married
28,2017.0,Married
28,2018.0,Married
29,2015.0,Single
29,2016.0,Married
29,2017.0,Single
29,2018.0,Married
30,2009.0,Married
30,2010.0,Married
30,2011.0,Single
30,2012.0,Married
30,2013.0,Single
30,2014.0,Married
30,2015.0,Single
30,2016.0,Single
30,2017.0,Single
30,2018.0,Married
31,2008.0,Single
31,2009.0,Married
31,2010.0,Single
31,2011.0,Single
31,2012.0,Single
31,2013.0,Married
31,2014.0,Single
31,2015.0,Single
31,2016.0,Married
31,2017.0,Single
31,2018.0,Married
32,2013.0,Married
32,2014.0,Single
32,2015.0,Married
32,2016.0,Married
32,2017.0,Single
32,2018.0,Married
33,2016.0,Single
33,2017.0,Single
33,2018.0,Married
34,2012.0,Married
34,2013.0,Married
34,2014.0,Married
34,2015.0,Married
34,2016.0,Single
34,2017.0,Single
