id,start_year,start_month,end_year,end_month
1,1994.0,12,2002.0,3
1,2003.0,3,2008.0,10
1,2008.0,10,2012.0,3
2,1995.0,12,2003.0,11
2,2004.0,11,2009.0,1
3,1988.0,12,1995.0,10
3,1995.0,10,2000.0,5
3,2000.0,5,2012.0,10
4,1993.0,12,2001.0,9
4,2001.0,9,2006.0,3
4,2006.0,3,2010.0,9
5,1997.0,7,2005.0,3
5,2005.0,3,2010.0,6
5,2010.0,6,2011.0,2
6,1993.0,12,2001.0,12
6,2002.0,12,2007.0,10
6,2007.0,10,2011.0,11
7,1998.0,12,2003.0,10
7,2003.0,10,2008.0,9
8,1996.0,5,2004.0,12
8,2004.0,12,2009.0,12
8,2010.0,12,2011.0,8
9,1992.0,5,2000.0,10
9,2000.0,10,2005.0,9
9,2005.0,9,2017.0,9
10,2008.0,12,2011.0,2
11,1990.0,12,1997.0,2
11,1997.0,2,2002.0,3
11,2002.0,3,2014.0,8
12,1990.0,5,1997.0,5
12,1998.0,5,2003.0,1
12,2003.0,1,2015.0,11
13,2002.0,5,2007.0,2
14,2010.0,12,2013.0,11
16,1992.0,5,2000.0,8
16,2000.0,8,2005.0,9
16,2006.0,9,2010.0,4
17,2005.0,4,2010.0,7
18,2003.0,7,2008.0,1
19,2011.0,12,2014.0,12
20,1999.0,12,2004.0,6
20,2004.0,6,2009.0,1
21,1994.0,4,2002.0,6
21,2003.0,6,2008.0,4
21,2008.0,4,2012.0,10
22,1992.0,4,2000.0,9
22,2000.0,9,2005.0,11
22,2005.0,11,2017.0,8
23,1992.0,12,2000.0,10
23,2001.0,10,2006.0,7
23,2006.0,7,2010.0,9
24,1988.0,5,1995.0,5
24,1995.0,5,2000.0,10
24,2000.0,10,2012.0,12
25,2009.0,12,2012.0,5
26,2006.0,7,2009.0,5
27,2005.0,12,2010.0,9
28,1991.0,12,1999.0,2
28,2000.0,2,2005.0,2
28,2005.0,2,2017.0,11
29,2008.0,5,2011.0,3
30,2006.0,12,2009.0,8
31,2011.0,12,2014.0,11
32,1998.0,12,2003.0,1
32,2003.0,1,2008.0,9
32,2008.0,9,2012.0,4
33,2002.0,12,2007.0,9
34,2005.0,5,2010.0,6
35,2006.0,7,2009.0,5
36,2009.0,5,2012.0,10
37,1996.0,12,2004.0,3
37,2004.0,3,2009.0,12
38,1999.0,5,2004.0,3
38,2004.0,3,2009.0,8
39,1989.0,7,1996.0,12
39,1996.0,12,2001.0,2
39,2002.0,2,2014.0,8
40,1990.0,12,1997.0,11
40,1998.0,11,2003.0,1
40,2003.0,1,2015.0,5
41,2008.0,12,2011.0,7
42,2012.0,12,2015.0,3
43,2000.0,7,2005.0,3
44,1999.0,5,2004.0,9
44,2005.0,9,2010.0,3
44,2011.0,3,2012.0,9
45,2009.0,12,2012.0,12
46,1987.0,5,1994.0,9
46,1995.0,9,2000.0,3
46,2000.0,3,2012.0,10
47,2010.0,5,2013.0,10
48,2000.0,12,2005.0,4
49,2008.0,12,2011.0,4
50,2009.0,12,2012.0,10
51,1999.0,12,2004.0,6
51,2004.0,6,2009.0,11
52,1997.0,12,2005.0,5
52,2005.0,5,2010.0,2
52,2011.0,2,2012.0,5
53,1990.0,12,1997.0,2
53,1998.0,2,2003.0,10
53,2004.0,10,2016.0,5
54,1993.0,5,2001.0,11
54,2001.0,11,2006.0,11
54,2006.0,11,2010.0,9
55,2005.0,4,2010.0,4
57,1996.0,12,2004.0,4
57,2004.0,4,2009.0,10
58,2002.0,5,2007.0,3
59,2003.0,5,2008.0,4
60,1989.0,5,1996.0,8
60,1997.0,8,2002.0,11
60,2002.0,11,2014.0,5
61,1990.0,12,1997.0,11
61,1997.0,11,2002.0,12
61,2002.0,12,2014.0,1
63,1994.0,5,2002.0,9
63,2003.0,9,2008.0,11
63,2008.0,11,2012.0,4
64,2008.0,7,2011.0,1
65,2011.0,12,2014.0,3
66,1999.0,12,2004.0,10
66,2004.0,10,2009.0,3
66,2010.0,3,2011.0,12
67,2012.0,12,2015.0,6
68,1999.0,12,2004.0,4
68,2004.0,4,2009.0,3
69,2010.0,5,2013.0,3
70,1994.0,12,2002.0,4
70,2002.0,4,2007.0,4
70,2008.0,4,2012.0,11
71,2009.0,5,2012.0,3
72,1993.0,12,2001.0,12
72,2001.0,12,2006.0,2
72,2006.0,2,2010.0,2
73,1996.0,4,2004.0,1
73,2005.0,1,2010.0,11
73,2011.0,11,2012.0,3
74,2004.0,12,2009.0,4
75,2000.0,12,2005.0,12
76,1995.0,4,2003.0,6
76,2003.0,6,2008.0,7
76,2008.0,7,2012.0,4
77,2000.0,12,2005.0,10
77,2005.0,10,2010.0,8
77,2010.0,8,2011.0,12
78,2002.0,5,2007.0,3
79,1987.0,7,1994.0,2
79,1995.0,2,2000.0,4
79,2000.0,4,2012.0,2
80,2001.0,12,2006.0,5
81,2012.0,12,2015.0,9
82,2003.0,5,2008.0,5
84,1995.0,12,2003.0,6
84,2003.0,6,2008.0,7
84,2008.0,7,2012.0,8
85,1999.0,12,2004.0,8
85,2005.0,8,2010.0,8
85,2011.0,8,2012.0,10
86,1998.0,12,2003.0,1
86,2004.0,1,2009.0,11
86,2010.0,11,2011.0,6
87,2000.0,12,2005.0,5
87,2005.0,5,2010.0,5
87,2010.0,5,2011.0,5
88,2004.0,7,2009.0,1
89,2003.0,7,2008.0,3
90,1997.0,12,2005.0,12
90,2005.0,12,2010.0,12
90,2011.0,12,2012.0,7
91,2000.0,12,2005.0,4
93,1996.0,5,2004.0,10
93,2004.0,10,2009.0,9
93,2010.0,9,2011.0,5
95,1997.0,12,2005.0,9
96,1995.0,12,2003.0,5
96,2003.0,5,2008.0,4
97,1993.0,12,2001.0,5
97,2002.0,5,2007.0,1
97,2008.0,1,2012.0,8
98,1991.0,7,1999.0,8
98,1999.0,8,2004.0,10
98,2005.0,10,2017.0,12
99,1996.0,12,2004.0,10
99,2004.0,10,2009.0,6
100,2011.0,12,2014.0,7
101,2008.0,12,2011.0,12
102,2010.0,5,2013.0,12
103,2002.0,5,2007.0,3
105,1995.0,5,2003.0,1
105,2003.0,1,2008.0,3
105,2008.0,3,2012.0,8
106,2012.0,12,2015.0,1
107,1996.0,5,2004.0,4
107,2005.0,4,2010.0,12
107,2010.0,12,2011.0,9
108,1995.0,7,2003.0,11
108,2003.0,11,2008.0,11
109,2012.0,12,2015.0,7
110,1999.0,7,2004.0,2
110,2005.0,2,2010.0,7
110,2010.0,7,2011.0,5
111,1991.0,7,1999.0,1
111,1999.0,1,2004.0,7
111,2005.0,7,2017.0,8
112,2003.0,12,2008.0,12
113,1998.0,12,2003.0,12
113,2003.0,12,2008.0,2
114,2006.0,5,2009.0,1
115,2005.0,5,2010.0,9
117,1988.0,5,1995.0,10
117,1995.0,10,2000.0,8
117,2001.0,8,2013.0,10
118,2008.0,12,2011.0,5
119,2012.0,12,2015.0,11
120,1992.0,7,2000.0,8
120,2000.0,8,2005.0,9
120,2006.0,9,2010.0,9
121,2011.0,12,2014.0,10
122,2002.0,12,2007.0,1
123,1993.0,5,2001.0,11
123,2002.0,11,2007.0,10
123,2007.0,10,2011.0,1
124,2010.0,5,2013.0,8
125,1994.0,12,2002.0,5
125,2003.0,5,2008.0,12
126,2004.0,7,2009.0,2
127,1997.0,12,2005.0,8
128,2008.0,5,2011.0,12
129,1996.0,12,2004.0,9
129,2005.0,9,2010.0,7
129,2010.0,7,2011.0,9
130,2007.0,7,2010.0,4
131,2003.0,12,2008.0,10
132,2011.0,12,2014.0,12
133,1995.0,12,2003.0,10
133,2003.0,10,2008.0,1
134,1999.0,5,2004.0,7
134,2005.0,7,2010.0,11
134,2010.0,11,2011.0,4
135,1998.0,7,2003.0,6
135,2004.0,6,2009.0,11
136,1997.0,12,2005.0,10
137,1996.0,4,2004.0,7
137,2004.0,7,2009.0,7
138,2005.0,12,2010.0,7
139,2011.0,12,2014.0,8
140,1991.0,4,1999.0,11
140,1999.0,11,2004.0,5
140,2004.0,5,2016.0,11
141,2010.0,12,2013.0,3
142,2008.0,12,2011.0,6
143,1995.0,4,2003.0,5
143,2003.0,5,2008.0,7
143,2008.0,7,2012.0,1
144,1993.0,4,2001.0,10
144,2002.0,10,2007.0,2
144,2008.0,2,2012.0,4
145,1991.0,4,1999.0,2
145,2000.0,2,2005.0,1
145,2005.0,1,2017.0,2
146,2007.0,5,2010.0,8
147,1994.0,12,2002.0,12
147,2002.0,12,2007.0,3
147,2007.0,3,2011.0,3
148,2006.0,5,2009.0,6
149,2008.0,5,2011.0,2
150,2000.0,5,2005.0,8
150,2005.0,8,2010.0,10
150,2010.0,10,2011.0,9
151,1989.0,5,1996.0,7
151,1997.0,7,2002.0,6
151,2003.0,6,2015.0,4
152,2000.0,12,2005.0,4
152,2005.0,4,2010.0,6
152,2011.0,6,2012.0,12
153,2007.0,12,2010.0,11
154,2004.0,5,2009.0,7
155,1994.0,5,2002.0,12
155,2002.0,12,2007.0,10
155,2008.0,10,2012.0,2
156,2005.0,5,2010.0,1
157,1990.0,12,1997.0,9
157,1998.0,9,2003.0,4
157,2003.0,4,2015.0,12
159,2002.0,7,2007.0,9
160,2004.0,5,2009.0,12
162,2004.0,12,2009.0,2
163,2011.0,12,2014.0,2
164,2004.0,5,2009.0,8
165,1997.0,5,2005.0,6
166,1996.0,12,2004.0,2
166,2005.0,2,2010.0,12
166,2010.0,12,2011.0,4
167,1994.0,5,2002.0,8
167,2003.0,8,2008.0,3
168,2007.0,12,2010.0,4
169,1996.0,5,2004.0,1
169,2005.0,1,2010.0,4
169,2011.0,4,2012.0,3
170,2002.0,7,2007.0,2
171,1995.0,12,2003.0,1
171,2004.0,1,2009.0,4
171,2010.0,4,2011.0,12
172,1987.0,5,1994.0,7
172,1994.0,7,1999.0,5
172,1999.0,5,2011.0,8
173,2007.0,4,2010.0,7
174,1994.0,12,2002.0,3
174,2003.0,3,2008.0,5
175,2010.0,5,2013.0,9
176,2005.0,5,2010.0,11
177,1998.0,12,2003.0,12
177,2004.0,12,2009.0,3
178,2005.0,5,2010.0,8
179,2010.0,4,2013.0,9
181,2002.0,12,2007.0,7
182,2002.0,12,2007.0,12
183,1991.0,5,1999.0,9
183,2000.0,9,2005.0,8
183,2006.0,8,2010.0,7
184,2010.0,4,2013.0,4
185,1999.0,4,2004.0,1
185,2004.0,1,2009.0,4
185,2010.0,4,2011.0,12
186,2012.0,5,2015.0,4
188,2003.0,5,2008.0,11
189,2003.0,12,2008.0,5
190,2001.0,12,2006.0,1
191,1992.0,12,2000.0,8
191,2000.0,8,2005.0,10
191,2006.0,10,2010.0,10
192,2000.0,12,2005.0,3
192,2005.0,3,2010.0,1
192,2010.0,1,2011.0,4
193,2004.0,7,2009.0,2
194,2010.0,5,2013.0,7
195,1998.0,5,2003.0,12
195,2004.0,12,2009.0,4
196,2012.0,12,2015.0,7
197,1991.0,5,1999.0,6
197,1999.0,6,2004.0,9
197,2005.0,9,2017.0,6
198,1995.0,12,2003.0,7
198,2004.0,7,2009.0,2
198,2010.0,2,2011.0,2
199,1994.0,12,2002.0,10
199,2003.0,10,2008.0,10
200,1992.0,12,2000.0,9
200,2001.0,9,2006.0,6
200,2006.0,6,2010.0,7
201,2010.0,4,2013.0,9
202,2001.0,5,2006.0,4
203,1999.0,7,2004.0,8
203,2004.0,8,2009.0,8
204,1986.0,12,1993.0,10
204,1994.0,10,1999.0,5
204,1999.0,5,2011.0,6
205,1998.0,12,2003.0,11
205,2004.0,11,2009.0,6
206,1992.0,12,2000.0,3
206,2001.0,3,2006.0,8
206,2006.0,8,2010.0,10
207,1995.0,12,2003.0,4
207,2004.0,4,2009.0,2
207,2010.0,2,2011.0,4
208,1986.0,12,1993.0,1
208,1993.0,1,1998.0,10
208,1999.0,10,2011.0,2
209,2008.0,5,2011.0,10
210,1995.0,5,2003.0,12
210,2003.0,12,2008.0,8
210,2008.0,8,2012.0,7
211,2002.0,12,2007.0,8
212,1996.0,12,2004.0,10
212,2004.0,10,2009.0,3
212,2010.0,3,2011.0,12
213,1992.0,4,2000.0,8
213,2000.0,8,2005.0,5
213,2005.0,5,2017.0,8
214,2001.0,12,2006.0,8
215,2004.0,12,2009.0,8
216,2009.0,12,2012.0,7
217,1992.0,7,2000.0,7
217,2001.0,7,2006.0,11
217,2006.0,11,2010.0,7
220,2004.0,12,2009.0,5
221,2012.0,7,2015.0,6
222,2004.0,12,2009.0,8
223,1998.0,12,2003.0,9
223,2003.0,9,2008.0,10
224,1999.0,12,2004.0,1
224,2004.0,1,2009.0,11
225,2010.0,5,2013.0,8
226,2003.0,5,2008.0,11
227,2010.0,12,2013.0,9
228,1990.0,5,1997.0,6
228,1997.0,6,2002.0,1
228,2002.0,1,2014.0,3
229,2001.0,12,2006.0,4
230,1990.0,5,1997.0,7
230,1997.0,7,2002.0,11
230,2002.0,11,2014.0,11
231,2001.0,5,2006.0,10
232,2008.0,5,2011.0,3
233,2003.0,12,2008.0,3
234,1992.0,5,2000.0,3
234,2001.0,3,2006.0,4
234,2007.0,4,2011.0,7
235,1991.0,12,1999.0,8
235,2000.0,8,2005.0,10
235,2006.0,10,2010.0,10
236,2001.0,12,2006.0,6
237,1987.0,12,1994.0,10
237,1995.0,10,2000.0,7
237,2000.0,7,2012.0,5
238,1994.0,12,2002.0,3
238,2003.0,3,2008.0,1
239,1992.0,5,2000.0,1
239,2000.0,1,2005.0,10
239,2005.0,10,2017.0,1
240,2011.0,7,2014.0,3
241,1989.0,5,1996.0,11
241,1996.0,11,2001.0,6
241,2002.0,6,2014.0,4
242,1990.0,12,1997.0,7
242,1997.0,7,2002.0,2
242,2003.0,2,2015.0,1
243,2003.0,12,2008.0,6
244,1992.0,12,2000.0,11
244,2000.0,11,2005.0,6
244,2005.0,6,2017.0,11
245,1995.0,12,2003.0,10
245,2004.0,10,2009.0,9
246,1998.0,5,2003.0,1
246,2003.0,1,2008.0,9
247,1991.0,5,1999.0,6
247,2000.0,6,2005.0,9
247,2006.0,9,2010.0,8
248,1997.0,12,2005.0,4
248,2005.0,4,2010.0,3
248,2010.0,3,2011.0,3
249,1996.0,7,2004.0,3
249,2004.0,3,2009.0,4
249,2010.0,4,2011.0,6
250,1993.0,12,2001.0,7
250,2001.0,7,2006.0,9
250,2007.0,9,2011.0,9
251,1996.0,4,2004.0,2
251,2005.0,2,2010.0,2
251,2010.0,2,2011.0,9
252,2002.0,7,2007.0,10
253,1996.0,5,2004.0,2
253,2004.0,2,2009.0,4
254,2008.0,5,2011.0,8
255,2008.0,5,2011.0,9
257,1992.0,4,2000.0,8
257,2000.0,8,2005.0,7
257,2006.0,7,2010.0,7
258,1998.0,5,2003.0,8
258,2003.0,8,2008.0,3
258,2008.0,3,2012.0,7
260,2004.0,4,2009.0,4
261,1999.0,12,2004.0,5
261,2004.0,5,2009.0,3
262,1995.0,5,2003.0,6
262,2004.0,6,2009.0,5
262,2010.0,5,2011.0,1
263,1996.0,12,2004.0,5
263,2004.0,5,2009.0,9
263,2010.0,9,2011.0,9
264,1996.0,5,2004.0,5
264,2004.0,5,2009.0,2
264,2010.0,2,2011.0,6
265,2010.0,5,2013.0,12
267,2008.0,4,2011.0,2
268,2005.0,12,2010.0,6
269,1988.0,12,1995.0,3
269,1996.0,3,2001.0,5
269,2001.0,5,2013.0,10
270,2010.0,5,2013.0,7
271,1990.0,5,1997.0,9
271,1998.0,9,2003.0,10
271,2003.0,10,2015.0,7
272,1996.0,5,2004.0,4
272,2004.0,4,2009.0,2
274,2005.0,12,2010.0,12
275,2004.0,12,2009.0,9
276,1993.0,12,2001.0,9
276,2001.0,9,2006.0,7
276,2006.0,7,2010.0,8
277,2003.0,12,2008.0,7
278,1996.0,12,2004.0,9
278,2005.0,9,2010.0,8
278,2010.0,8,2011.0,7
279,2005.0,12,2010.0,11
280,2011.0,5,2014.0,4
281,2000.0,12,2005.0,8
281,2005.0,8,2010.0,4
281,2010.0,4,2011.0,8
282,2001.0,5,2006.0,12
283,2004.0,5,2009.0,4
284,1991.0,12,1999.0,8
284,2000.0,8,2005.0,2
284,2006.0,2,2010.0,6
285,2012.0,7,2015.0,1
286,1993.0,12,2001.0,1
286,2001.0,1,2006.0,8
286,2006.0,8,2010.0,5
287,2002.0,5,2007.0,9
288,2009.0,7,2012.0,8
289,2011.0,12,2014.0,6
290,2009.0,12,2012.0,5
291,2002.0,12,2007.0,5
292,1995.0,5,2003.0,11
292,2003.0,11,2008.0,9
293,2008.0,7,2011.0,8
294,1998.0,7,2003.0,11
294,2003.0,11,2008.0,12
294,2008.0,12,2012.0,1
295,1997.0,12,2005.0,2
295,2005.0,2,2010.0,10
295,2010.0,10,2011.0,4
297,1992.0,4,2000.0,6
297,2000.0,6,2005.0,7
297,2005.0,7,2017.0,2
298,2006.0,5,2009.0,7
299,2011.0,5,2014.0,12
300,1988.0,12,1995.0,2
300,1996.0,2,2001.0,11
300,2001.0,11,2013.0,4
301,2004.0,12,2009.0,12
302,2012.0,12,2015.0,3
303,1986.0,12,1993.0,2
303,1993.0,2,1998.0,10
303,1998.0,10,2010.0,12
304,2003.0,12,2008.0,11
305,1998.0,12,2003.0,11
305,2003.0,11,2008.0,12
305,2008.0,12,2012.0,10
306,1991.0,12,1999.0,3
306,1999.0,3,2004.0,8
306,2005.0,8,2017.0,9
307,2006.0,5,2009.0,4
308,1988.0,5,1995.0,2
308,1996.0,2,2001.0,4
308,2001.0,4,2013.0,1
309,1989.0,12,1996.0,1
309,1997.0,1,2002.0,8
309,2002.0,8,2014.0,12
310,2006.0,7,2009.0,12
311,2011.0,5,2014.0,11
312,2003.0,12,2008.0,6
313,1998.0,4,2003.0,9
313,2003.0,9,2008.0,9
313,2008.0,9,2012.0,4
314,1998.0,12,2003.0,9
314,2004.0,9,2009.0,6
315,2004.0,5,2009.0,7
316,1999.0,7,2004.0,1
316,2004.0,1,2009.0,4
317,2005.0,12,2010.0,6
318,1994.0,7,2002.0,7
318,2003.0,7,2008.0,8
318,2008.0,8,2012.0,5
319,1990.0,12,1997.0,11
319,1998.0,11,2003.0,8
319,2003.0,8,2015.0,3
320,2003.0,12,2008.0,1
321,1987.0,12,1994.0,1
321,1994.0,1,1999.0,1
321,2000.0,1,2012.0,8
322,1996.0,7,2004.0,12
322,2004.0,12,2009.0,1
323,2009.0,5,2012.0,5
324,2012.0,7,2015.0,8
325,2003.0,5,2008.0,5
326,1994.0,12,2002.0,12
326,2003.0,12,2008.0,5
326,2008.0,5,2012.0,2
327,1999.0,12,2004.0,9
327,2005.0,9,2010.0,9
327,2010.0,9,2011.0,6
328,1989.0,5,1996.0,9
328,1996.0,9,2001.0,3
328,2002.0,3,2014.0,8
329,2003.0,12,2008.0,11
331,2001.0,7,2006.0,9
333,1994.0,4,2002.0,1
333,2002.0,1,2007.0,1
333,2007.0,1,2011.0,9
334,1991.0,5,1999.0,11
334,2000.0,11,2005.0,11
334,2005.0,11,2017.0,9
335,1999.0,12,2004.0,2
335,2004.0,2,2009.0,10
336,2009.0,12,2012.0,5
337,1997.0,7,2005.0,9
337,2005.0,9,2010.0,2
337,2010.0,2,2011.0,5
339,2000.0,5,2005.0,2
339,2005.0,2,2010.0,1
339,2010.0,1,2011.0,5
340,1998.0,12,2003.0,8
340,2003.0,8,2008.0,4
340,2008.0,4,2012.0,12
341,1995.0,12,2003.0,7
341,2004.0,7,2009.0,12
341,2010.0,12,2011.0,10
342,1991.0,12,1999.0,1
342,1999.0,1,2004.0,12
342,2004.0,12,2016.0,6
343,2009.0,12,2012.0,2
344,1999.0,12,2004.0,5
344,2004.0,5,2009.0,9
345,1988.0,4,1995.0,1
345,1995.0,1,2000.0,5
345,2001.0,5,2013.0,4
346,2005.0,12,2010.0,9
347,2003.0,7,2008.0,11
348,1986.0,12,1993.0,2
348,1994.0,2,1999.0,7
348,1999.0,7,2011.0,7
349,1988.0,4,1995.0,7
349,1995.0,7,2000.0,8
349,2001.0,8,2013.0,2
350,2003.0,12,2008.0,2
351,2002.0,12,2007.0,1
352,1992.0,12,2000.0,10
352,2001.0,10,2006.0,2
352,2006.0,2,2010.0,4
353,1990.0,12,1997.0,4
353,1998.0,4,2003.0,4
353,2003.0,4,2015.0,10
355,1990.0,5,1997.0,7
355,1997.0,7,2002.0,10
355,2002.0,10,2014.0,3
356,1994.0,12,2002.0,4
356,2002.0,4,2007.0,6
356,2007.0,6,2011.0,4
357,1998.0,7,2003.0,12
357,2003.0,12,2008.0,7
357,2008.0,7,2012.0,11
358,2001.0,12,2006.0,5
359,2001.0,5,2006.0,1
360,1997.0,5,2005.0,12
360,2005.0,12,2010.0,4
360,2011.0,4,2012.0,8
361,1992.0,12,2000.0,6
361,2000.0,6,2005.0,4
361,2005.0,4,2017.0,12
362,2009.0,12,2012.0,11
363,2000.0,4,2005.0,9
364,2010.0,12,2013.0,9
365,1992.0,12,2000.0,5
365,2001.0,5,2006.0,9
365,2006.0,9,2010.0,11
366,1988.0,12,1995.0,12
366,1996.0,12,2001.0,4
366,2001.0,4,2013.0,8
368,1992.0,12,2000.0,8
368,2000.0,8,2005.0,9
368,2006.0,9,2010.0,8
369,1993.0,12,2001.0,6
369,2001.0,6,2006.0,12
369,2007.0,12,2011.0,12
370,2003.0,4,2008.0,9
371,2011.0,12,2014.0,3
372,1991.0,12,1999.0,6
372,2000.0,6,2005.0,6
372,2005.0,6,2017.0,7
373,1993.0,12,2001.0,2
373,2001.0,2,2006.0,9
373,2007.0,9,2011.0,4
374,1993.0,12,2001.0,2
374,2002.0,2,2007.0,10
374,2007.0,10,2011.0,4
375,1994.0,5,2002.0,4
375,2002.0,4,2007.0,8
375,2007.0,8,2011.0,4
376,2005.0,5,2010.0,1
377,1997.0,7,2005.0,5
377,2005.0,5,2010.0,1
377,2010.0,1,2011.0,10
378,2005.0,5,2010.0,9
379,2003.0,5,2008.0,5
380,1984.0,12,1991.0,3
380,1991.0,3,1996.0,12
380,1996.0,12,2008.0,5
381,2010.0,5,2013.0,1
383,2007.0,12,2010.0,2
384,1999.0,12,2004.0,9
384,2004.0,9,2009.0,12
385,1992.0,12,2000.0,10
385,2000.0,10,2005.0,7
385,2005.0,7,2017.0,10
386,1999.0,12,2004.0,2
386,2005.0,2,2010.0,5
386,2010.0,5,2011.0,10
387,2008.0,5,2011.0,2
388,1994.0,4,2002.0,5
388,2002.0,5,2007.0,8
388,2007.0,8,2011.0,9
389,1997.0,12,2005.0,10
390,2011.0,7,2014.0,8
391,1994.0,12,2002.0,5
391,2003.0,5,2008.0,8
391,2008.0,8,2012.0,7
392,2012.0,12,2015.0,8
393,2003.0,5,2008.0,2
394,1996.0,5,2004.0,12
394,2004.0,12,2009.0,5
394,2010.0,5,2011.0,8
395,2002.0,12,2007.0,12
396,1995.0,5,2003.0,2
396,2003.0,2,2008.0,9
397,1999.0,12,2004.0,10
397,2004.0,10,2009.0,10
398,1989.0,12,1996.0,4
398,1996.0,4,2001.0,1
398,2001.0,1,2013.0,9
399,1999.0,12,2004.0,9
399,2005.0,9,2010.0,11
399,2011.0,11,2012.0,1
400,1997.0,12,2005.0,3
400,2005.0,3,2010.0,10
400,2010.0,10,2011.0,3
401,1993.0,7,2001.0,7
401,2001.0,7,2006.0,9
401,2007.0,9,2011.0,9
402,2002.0,7,2007.0,10
403,1998.0,5,2003.0,2
403,2003.0,2,2008.0,4
404,1995.0,5,2003.0,4
404,2003.0,4,2008.0,3
405,1992.0,5,2000.0,6
405,2001.0,6,2006.0,2
405,2007.0,2,2011.0,9
406,1998.0,12,2003.0,6
406,2004.0,6,2009.0,2
