id,start_year,start_month,end_year,end_month
1,2004.0,4,2010.0,3
2,2009.0,7,2013.0,11
4,1989.0,12,1995.0,9
4,1995.0,9,2000.0,3
4,2000.0,3,2012.0,9
5,1992.0,7,1998.0,3
5,1998.0,3,2003.0,6
5,2003.0,6,2015.0,2
6,1996.0,12,2002.0,12
6,2003.0,12,2008.0,10
6,2008.0,10,2012.0,11
7,1994.0,5,2000.0,10
7,2000.0,10,2005.0,9
7,2006.0,9,2010.0,11
8,1998.0,5,2004.0,12
8,2004.0,12,2009.0,12
8,2010.0,12,2011.0,8
9,2011.0,5,2015.0,10
10,2008.0,12,2012.0,2
11,1989.0,12,1995.0,2
11,1995.0,2,2000.0,3
11,2000.0,3,2012.0,8
12,1992.0,7,1998.0,5
12,1999.0,5,2004.0,1
12,2004.0,1,2016.0,11
13,2012.0,12,2016.0,2
14,2000.0,7,2006.0,11
15,2011.0,5,2015.0,7
16,1992.0,12,1998.0,8
16,1998.0,8,2003.0,9
16,2004.0,9,2016.0,4
17,2003.0,12,2009.0,7
18,1993.0,7,1999.0,1
18,1999.0,1,2004.0,7
18,2004.0,7,2016.0,1
20,2002.0,12,2008.0,6
21,2005.0,5,2011.0,6
22,2007.0,4,2011.0,9
23,2002.0,12,2008.0,10
24,2000.0,12,2006.0,5
25,2009.0,12,2013.0,5
26,2012.0,7,2016.0,5
27,1988.0,5,1994.0,9
27,1995.0,9,2000.0,9
27,2000.0,9,2012.0,10
28,1999.0,12,2005.0,2
30,2007.0,12,2011.0,8
31,2006.0,12,2010.0,11
32,1997.0,4,2003.0,1
32,2003.0,1,2008.0,9
32,2008.0,9,2012.0,4
33,2000.0,12,2006.0,9
34,1990.0,12,1996.0,6
34,1997.0,6,2002.0,8
34,2002.0,8,2014.0,9
35,1998.0,12,2004.0,5
35,2004.0,5,2009.0,2
36,2007.0,5,2011.0,10
37,1995.0,12,2001.0,3
37,2001.0,3,2006.0,12
37,2006.0,12,2010.0,2
38,1993.0,12,1999.0,3
38,1999.0,3,2004.0,8
38,2004.0,8,2016.0,9
39,1986.0,12,1992.0,12
39,1992.0,12,1997.0,2
39,1998.0,2,2010.0,8
40,2000.0,5,2006.0,11
41,1995.0,12,2001.0,7
41,2001.0,7,2006.0,1
41,2007.0,1,2011.0,7
42,1986.0,7,1992.0,3
42,1992.0,3,1997.0,3
42,1997.0,3,2009.0,11
43,1995.0,12,2001.0,3
43,2002.0,3,2007.0,2
43,2008.0,2,2012.0,7
44,1993.0,7,1999.0,9
44,2000.0,9,2005.0,3
44,2006.0,3,2010.0,9
45,1986.0,12,1992.0,12
45,1992.0,12,1997.0,5
45,1997.0,5,2009.0,6
46,1999.0,12,2005.0,9
47,1994.0,12,2000.0,10
47,2001.0,10,2006.0,12
47,2006.0,12,2010.0,4
49,2004.0,12,2010.0,4
51,1990.0,7,1996.0,6
51,1996.0,6,2001.0,11
51,2001.0,11,2013.0,11
52,1995.0,7,2001.0,5
52,2001.0,5,2006.0,2
52,2007.0,2,2011.0,5
53,2000.0,5,2006.0,2
54,1990.0,4,1996.0,11
54,1996.0,11,2001.0,11
54,2001.0,11,2013.0,9
56,2001.0,12,2007.0,11
57,1995.0,12,2001.0,4
57,2001.0,4,2006.0,10
57,2006.0,10,2010.0,7
58,2000.0,5,2006.0,3
59,2006.0,5,2010.0,4
60,1989.0,12,1995.0,8
60,1996.0,8,2001.0,11
60,2001.0,11,2013.0,5
61,2012.0,7,2016.0,11
62,2007.0,5,2011.0,9
63,2003.0,12,2009.0,9
64,2004.0,12,2010.0,1
65,1996.0,12,2002.0,3
65,2002.0,3,2007.0,12
65,2008.0,12,2012.0,4
66,1999.0,4,2005.0,10
66,2005.0,10,2010.0,3
66,2011.0,3,2012.0,12
67,1994.0,5,2000.0,6
67,2000.0,6,2005.0,8
67,2005.0,8,2017.0,6
68,2009.0,5,2013.0,4
69,2002.0,12,2008.0,3
70,1993.0,12,1999.0,4
70,1999.0,4,2004.0,4
70,2005.0,4,2017.0,11
71,2007.0,12,2011.0,3
72,1990.0,12,1996.0,12
72,1996.0,12,2001.0,2
72,2001.0,2,2013.0,2
73,1991.0,12,1997.0,1
73,1998.0,1,2003.0,11
73,2004.0,11,2016.0,3
74,2011.0,12,2015.0,4
75,1999.0,12,2005.0,12
76,2009.0,5,2013.0,6
77,2012.0,5,2016.0,10
79,2011.0,5,2015.0,2
80,1990.0,12,1996.0,5
80,1997.0,5,2002.0,12
80,2002.0,12,2014.0,1
81,2005.0,5,2011.0,9
82,2006.0,5,2010.0,5
83,2000.0,12,2006.0,3
84,2000.0,12,2006.0,6
85,1996.0,12,2002.0,8
85,2003.0,8,2008.0,8
88,2005.0,4,2011.0,1
89,2002.0,7,2008.0,3
90,1996.0,12,2002.0,12
90,2002.0,12,2007.0,12
90,2008.0,12,2012.0,7
91,1994.0,12,2000.0,4
91,2001.0,4,2006.0,4
91,2007.0,4,2011.0,1
92,1995.0,5,2001.0,6
92,2001.0,6,2006.0,8
92,2006.0,8,2010.0,6
93,2001.0,7,2007.0,10
95,2007.0,12,2011.0,9
96,2011.0,12,2015.0,5
97,2011.0,5,2015.0,5
98,1995.0,12,2001.0,8
98,2001.0,8,2006.0,10
98,2007.0,10,2011.0,12
99,2007.0,12,2011.0,10
100,2008.0,7,2012.0,7
101,1999.0,5,2005.0,12
102,2012.0,12,2016.0,12
103,2006.0,5,2010.0,3
104,1996.0,12,2002.0,11
104,2003.0,11,2008.0,12
104,2008.0,12,2012.0,8
105,2012.0,12,2016.0,1
106,1989.0,12,1995.0,1
106,1995.0,1,2000.0,3
106,2000.0,3,2012.0,3
107,2007.0,12,2011.0,4
108,2005.0,5,2011.0,11
110,2003.0,5,2009.0,2
111,1996.0,12,2002.0,1
111,2002.0,1,2007.0,7
111,2008.0,7,2012.0,8
112,1999.0,4,2005.0,12
113,1992.0,12,1998.0,12
113,1998.0,12,2003.0,2
113,2004.0,2,2016.0,10
114,2003.0,5,2009.0,1
115,1995.0,12,2001.0,9
115,2002.0,9,2007.0,11
115,2007.0,11,2011.0,2
116,2007.0,12,2011.0,9
117,2010.0,12,2014.0,10
118,2008.0,12,2012.0,5
119,1987.0,12,1993.0,11
119,1993.0,11,1998.0,4
119,1998.0,4,2010.0,3
120,1994.0,12,2000.0,8
120,2000.0,8,2005.0,9
120,2006.0,9,2010.0,9
121,1991.0,5,1997.0,10
121,1997.0,10,2002.0,12
121,2002.0,12,2014.0,12
123,2012.0,12,2016.0,11
124,1997.0,5,2003.0,8
124,2003.0,8,2008.0,11
124,2008.0,11,2012.0,5
125,2009.0,5,2013.0,5
126,1993.0,12,1999.0,2
126,1999.0,2,2004.0,6
126,2004.0,6,2016.0,6
127,2007.0,12,2011.0,8
128,2005.0,4,2011.0,12
129,2009.0,12,2013.0,9
130,1996.0,12,2002.0,4
130,2002.0,4,2007.0,5
130,2007.0,5,2011.0,3
131,2010.0,12,2014.0,10
133,1993.0,12,1999.0,10
133,1999.0,10,2004.0,1
133,2005.0,1,2017.0,11
134,1997.0,5,2003.0,7
134,2004.0,7,2009.0,11
135,1988.0,5,1994.0,6
135,1995.0,6,2000.0,11
135,2000.0,11,2012.0,4
136,1996.0,5,2002.0,10
136,2003.0,10,2008.0,2
136,2008.0,2,2012.0,5
137,1993.0,5,1999.0,7
137,1999.0,7,2004.0,7
137,2004.0,7,2016.0,9
138,2007.0,12,2011.0,7
139,1995.0,5,2001.0,8
139,2001.0,8,2006.0,7
139,2006.0,7,2010.0,6
140,2008.0,5,2012.0,11
141,1996.0,12,2002.0,3
141,2003.0,3,2008.0,5
141,2008.0,5,2012.0,5
142,1996.0,12,2002.0,6
142,2003.0,6,2008.0,1
142,2008.0,1,2012.0,4
143,1997.0,4,2003.0,5
143,2003.0,5,2008.0,7
143,2008.0,7,2012.0,1
144,1991.0,5,1997.0,10
144,1998.0,10,2003.0,2
144,2004.0,2,2016.0,4
145,1996.0,5,2002.0,2
145,2003.0,2,2008.0,1
145,2008.0,1,2012.0,2
146,2003.0,12,2009.0,8
147,2001.0,5,2007.0,12
148,1990.0,12,1996.0,6
148,1996.0,6,2001.0,1
148,2002.0,1,2014.0,8
149,1992.0,5,1998.0,2
149,1999.0,2,2004.0,1
149,2004.0,1,2016.0,7
150,2007.0,12,2011.0,8
151,2012.0,12,2016.0,7
152,1997.0,12,2003.0,4
152,2003.0,4,2008.0,6
153,1989.0,12,1995.0,11
153,1996.0,11,2001.0,1
153,2002.0,1,2014.0,3
154,2010.0,5,2014.0,7
155,2002.0,5,2008.0,12
156,1986.0,12,1992.0,1
156,1993.0,1,1998.0,2
156,1998.0,2,2010.0,8
157,1997.0,12,2003.0,9
157,2004.0,9,2009.0,4
158,1996.0,12,2002.0,11
158,2002.0,11,2007.0,11
158,2007.0,11,2011.0,3
159,1998.0,12,2004.0,9
159,2004.0,9,2009.0,3
159,2010.0,3,2011.0,3
160,2009.0,5,2013.0,12
161,2003.0,5,2009.0,4
162,2007.0,4,2011.0,2
163,2006.0,5,2010.0,2
164,1999.0,12,2005.0,8
164,2005.0,8,2010.0,4
164,2010.0,4,2011.0,11
165,2012.0,5,2016.0,6
166,2010.0,5,2014.0,2
167,1994.0,5,2000.0,8
167,2001.0,8,2006.0,3
167,2007.0,3,2011.0,3
168,1995.0,12,2001.0,4
168,2001.0,4,2006.0,5
168,2006.0,5,2010.0,1
169,1993.0,12,1999.0,1
169,2000.0,1,2005.0,4
169,2006.0,4,2010.0,3
170,2002.0,5,2008.0,2
171,2004.0,5,2010.0,1
172,1993.0,12,1999.0,7
172,1999.0,7,2004.0,5
172,2004.0,5,2016.0,8
173,1992.0,12,1998.0,7
173,1998.0,7,2003.0,10
173,2004.0,10,2016.0,12
174,1995.0,12,2001.0,3
174,2002.0,3,2007.0,5
174,2008.0,5,2012.0,12
175,1993.0,12,1999.0,9
175,2000.0,9,2005.0,7
175,2006.0,7,2010.0,1
176,2007.0,12,2011.0,11
177,2012.0,5,2016.0,12
178,2001.0,4,2007.0,8
179,1993.0,12,1999.0,9
179,1999.0,9,2004.0,6
179,2005.0,6,2017.0,2
180,2008.0,12,2012.0,11
181,2011.0,12,2015.0,7
182,1990.0,7,1996.0,12
182,1997.0,12,2002.0,9
182,2003.0,9,2015.0,12
183,2003.0,5,2009.0,9
184,1994.0,4,2000.0,4
184,2000.0,4,2005.0,10
184,2005.0,10,2017.0,6
185,2005.0,5,2011.0,1
186,2012.0,5,2016.0,4
187,2010.0,5,2014.0,5
188,2004.0,12,2010.0,11
189,2001.0,12,2007.0,5
190,1994.0,5,2000.0,1
190,2000.0,1,2005.0,9
190,2006.0,9,2010.0,9
191,1992.0,12,1998.0,8
191,1998.0,8,2003.0,10
191,2004.0,10,2016.0,10
192,2002.0,7,2008.0,3
193,1997.0,7,2003.0,2
193,2004.0,2,2009.0,1
194,1993.0,12,1999.0,7
194,1999.0,7,2004.0,1
194,2004.0,1,2016.0,2
195,2007.0,12,2011.0,12
196,2007.0,12,2011.0,7
197,1994.0,12,2000.0,6
197,2000.0,6,2005.0,9
197,2006.0,9,2010.0,6
198,1998.0,12,2004.0,7
198,2005.0,7,2010.0,2
198,2011.0,2,2012.0,2
199,1990.0,12,1996.0,10
199,1997.0,10,2002.0,10
199,2003.0,10,2015.0,6
200,1986.0,12,1992.0,9
200,1993.0,9,1998.0,6
200,1998.0,6,2010.0,7
201,1991.0,5,1997.0,9
201,1998.0,9,2003.0,7
201,2003.0,7,2015.0,3
202,1996.0,5,2002.0,4
202,2003.0,4,2008.0,2
202,2008.0,2,2012.0,1
203,1990.0,5,1996.0,8
203,1996.0,8,2001.0,8
203,2001.0,8,2013.0,1
204,2006.0,12,2010.0,10
205,1991.0,12,1997.0,11
205,1998.0,11,2003.0,6
205,2003.0,6,2015.0,5
206,2002.0,5,2008.0,3
207,1992.0,4,1998.0,4
207,1999.0,4,2004.0,2
207,2005.0,2,2017.0,4
208,1999.0,5,2005.0,1
208,2005.0,1,2010.0,10
208,2011.0,10,2012.0,2
209,2006.0,12,2010.0,10
210,1988.0,5,1994.0,12
210,1994.0,12,1999.0,8
210,1999.0,8,2011.0,7
211,2003.0,12,2009.0,8
212,2012.0,12,2016.0,10
213,1997.0,4,2003.0,8
213,2003.0,8,2008.0,5
213,2008.0,5,2012.0,8
214,1989.0,12,1995.0,8
214,1995.0,8,2000.0,7
214,2001.0,7,2013.0,12
215,2008.0,12,2012.0,8
216,2010.0,12,2014.0,7
217,1990.0,5,1996.0,7
217,1997.0,7,2002.0,11
217,2002.0,11,2014.0,7
218,2008.0,12,2012.0,3
219,1994.0,12,2000.0,12
219,2000.0,12,2005.0,11
219,2006.0,11,2010.0,2
220,2002.0,12,2008.0,5
221,2005.0,7,2011.0,6
222,1996.0,12,2002.0,8
222,2002.0,8,2007.0,6
222,2008.0,6,2012.0,1
224,1998.0,5,2004.0,1
